"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
100	100	"0.9"	1	0.32	"0.47 ( 0.02 )"	"6.56 ( 0.48 )"	"1.45 ( 0.11 )"	11.11	"0.52"	0.47	6.56	1.45
500	100	"0.9"	0.2	0.59	"0.32 ( 0.01 )"	"4.04 ( 0.34 )"	"0.01 ( 0.01 )"	10.03	"0.35"	0.32	4.04	0.01
1000	100	"0.9"	0.1	0.67	"0.3 ( 0 )"	"2.85 ( 0.24 )"	"0 ( 0 )"	8.85	"0.28"	0.3	2.85	0
50	500	"0.9"	10	0.23	"0.89 ( 0.05 )"	"5.88 ( 0.44 )"	"3.74 ( 0.07 )"	8.14	"0.62"	0.89	5.88	3.74
100	500	"0.9"	5	0.24	"0.6 ( 0.02 )"	"8.59 ( 0.65 )"	"2.63 ( 0.08 )"	11.96	"0.64"	0.6	8.59	2.63
500	500	"0.9"	1	0.41	"0.34 ( 0.01 )"	"8.17 ( 0.48 )"	"0.17 ( 0.04 )"	14	"0.54"	0.34	8.17	0.17
1000	500	"0.9"	0.5	0.58	"0.32 ( 0 )"	"4.24 ( 0.3 )"	"0.01 ( 0.01 )"	10.23	"0.37"	0.32	4.24	0.01
50	1000	"0.9"	20	0.19	"1.04 ( 0.06 )"	"5.24 ( 0.46 )"	"4.23 ( 0.08 )"	7.01	"0.6"	1.04	5.24	4.23
100	1000	"0.9"	10	0.22	"0.67 ( 0.02 )"	"9.03 ( 0.73 )"	"3.02 ( 0.07 )"	12.01	"0.66"	0.67	9.03	3.02
500	1000	"0.9"	2	0.34	"0.35 ( 0.01 )"	"10.52 ( 0.68 )"	"0.32 ( 0.05 )"	16.2	"0.59"	0.35	10.5	0.32
1000	1000	"0.9"	1	0.57	"0.33 ( 0 )"	"4.48 ( 0.3 )"	"0.01 ( 0.01 )"	10.47	"0.39"	0.33	4.48	0.01
