"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
1000	500	"0.7"	0.5	0.98	"0.9 ( 0 )"	"0.13 ( 0.07 )"	"0.01 ( 0.01 )"	6.12	"0.01"	0.9	0.13	0.01
50	1000	"0.7"	20	0.01	"1 ( 0 )"	"275.88 ( 8.89 )"	"1.39 ( 0.09 )"	280.49	"0.98"	1	275.88	1.39
100	1000	"0.7"	10	0.03	"1 ( 0 )"	"155.38 ( 7.45 )"	"0.93 ( 0.08 )"	160.45	"0.95"	1	155.38	0.93
500	1000	"0.7"	2	0.84	"0.9 ( 0 )"	"1.07 ( 0.26 )"	"0.1 ( 0.03 )"	6.97	"0.09"	0.9	1.07	0.1
1000	1000	"0.7"	1	0.95	"0.9 ( 0 )"	"0.3 ( 0.11 )"	"0.02 ( 0.01 )"	6.28	"0.03"	0.9	0.3	0.02
50	50	"0.9"	1	0.13	"0.97 ( 0 )"	"15.75 ( 1.04 )"	"0.71 ( 0.07 )"	21.04	"0.7"	0.97	15.75	0.71
100	50	"0.9"	0.5	0.44	"0.93 ( 0 )"	"5.06 ( 0.38 )"	"0.34 ( 0.05 )"	10.72	"0.42"	0.93	5.06	0.34
500	50	"0.9"	0.1	0.98	"0.91 ( 0 )"	"0.07 ( 0.04 )"	"0.03 ( 0.02 )"	6.04	"0.01"	0.91	0.07	0.03
1000	50	"0.9"	0.05	1	"0.91 ( 0 )"	"0 ( 0 )"	"0 ( 0 )"	6	"0"	0.91	0	0
50	100	"0.9"	2	0.06	"0.99 ( 0 )"	"37.69 ( 2.33 )"	"0.96 ( 0.09 )"	42.73	"0.84"	0.99	37.69	0.96
100	100	"0.9"	1	0.26	"0.94 ( 0 )"	"11.53 ( 1.15 )"	"0.52 ( 0.06 )"	17.01	"0.61"	0.94	11.53	0.52
500	100	"0.9"	0.2	0.96	"0.91 ( 0 )"	"0.18 ( 0.06 )"	"0.03 ( 0.02 )"	6.15	"0.02"	0.91	0.18	0.03
1000	100	"0.9"	0.1	0.97	"0.91 ( 0 )"	"0.17 ( 0.09 )"	"0 ( 0 )"	6.17	"0.02"	0.91	0.17	0
50	500	"0.9"	10	0.01	"1 ( 0 )"	"189.13 ( 6.24 )"	"0.91 ( 0.1 )"	194.22	"0.97"	1	189.13	0.91
100	500	"0.9"	5	0.05	"0.99 ( 0 )"	"88.92 ( 5.92 )"	"0.68 ( 0.07 )"	94.24	"0.92"	0.99	88.92	0.68
500	500	"0.9"	1	0.85	"0.91 ( 0 )"	"1.08 ( 0.33 )"	"0.01 ( 0.01 )"	7.07	"0.08"	0.91	1.08	0.01
1000	500	"0.9"	0.5	0.98	"0.91 ( 0 )"	"0.14 ( 0.07 )"	"0 ( 0 )"	6.14	"0.02"	0.91	0.14	0
50	1000	"0.9"	20	0.01	"1 ( 0 )"	"330.51 ( 8.59 )"	"0.97 ( 0.08 )"	335.54	"0.98"	1	330.51	0.97
100	1000	"0.9"	10	0.02	"1 ( 0 )"	"217.74 ( 6.88 )"	"0.67 ( 0.07 )"	223.07	"0.97"	1	217.74	0.67
500	1000	"0.9"	2	0.76	"0.91 ( 0 )"	"1.91 ( 0.48 )"	"0.02 ( 0.01 )"	7.89	"0.12"	0.91	1.91	0.02
1000	1000	"0.9"	1	0.95	"0.91 ( 0 )"	"0.27 ( 0.11 )"	"0.02 ( 0.01 )"	6.25	"0.03"	0.91	0.27	0.02
