"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
50	100	0.7	2	0.24	"0.71 ( 0.01 )"	"4.31 ( 0.28 )"	"4.05 ( 0.09 )"	5.26	0.55	0.71	4.31	4.05	"lasso"
100	100	0.7	1	0.27	"0.79 ( 0.01 )"	"6.34 ( 0.4 )"	"2.67 ( 0.12 )"	8.67	0.53	0.79	6.34	2.67	"lasso"
500	100	0.7	0.2	0.43	"0.89 ( 0 )"	"7.92 ( 0.24 )"	"0.04 ( 0.02 )"	12.88	0.52	0.89	7.92	0.04	"lasso"
1000	100	0.7	0.1	0.66	"0.9 ( 0 )"	"3.85 ( 0.16 )"	"0 ( 0 )"	8.85	0.3	0.9	3.85	0	"lasso"
50	500	0.7	10	0.14	"0.7 ( 0.01 )"	"6.5 ( 0.24 )"	"4.63 ( 0.06 )"	6.87	0.77	0.7	6.5	4.63	"lasso"
100	500	0.7	5	0.21	"0.76 ( 0.01 )"	"6.98 ( 0.58 )"	"3.65 ( 0.08 )"	8.33	0.56	0.76	6.98	3.65	"lasso"
500	500	0.7	1	0.2	"0.88 ( 0 )"	"22.04 ( 0.74 )"	"0.14 ( 0.04 )"	26.9	0.76	0.88	22.04	0.14	"lasso"
1000	500	0.7	0.5	0.33	"0.89 ( 0 )"	"13.15 ( 0.38 )"	"0 ( 0 )"	18.15	0.65	0.89	13.15	0	"lasso"
50	1000	0.7	20	0.1	"0.66 ( 0.01 )"	"8.82 ( 0.28 )"	"4.72 ( 0.05 )"	9.1	0.85	0.66	8.82	4.72	"lasso"
100	1000	0.7	10	0.18	"0.76 ( 0.01 )"	"6.93 ( 0.59 )"	"4 ( 0.08 )"	7.93	0.62	0.76	6.93	4	"lasso"
500	1000	0.7	2	0.16	"0.87 ( 0 )"	"29.07 ( 1 )"	"0.16 ( 0.04 )"	33.91	0.81	0.87	29.07	0.16	"lasso"
1000	1000	0.7	1	0.22	"0.89 ( 0 )"	"21.8 ( 0.63 )"	"0 ( 0 )"	26.8	0.76	0.89	21.8	0	"lasso"
50	50	0.9	1	0.3	"0.69 ( 0.01 )"	"2.9 ( 0.2 )"	"4.22 ( 0.09 )"	3.68	0.41	0.69	2.9	4.22	"lasso"
100	50	0.9	0.5	0.37	"0.76 ( 0.01 )"	"3.93 ( 0.21 )"	"2.74 ( 0.11 )"	6.19	0.41	0.76	3.93	2.74	"lasso"
500	50	0.9	0.1	0.57	"0.83 ( 0 )"	"3.65 ( 0.16 )"	"0.56 ( 0.08 )"	8.09	0.31	0.83	3.65	0.56	"lasso"
1000	50	0.9	0.05	0.76	"0.83 ( 0 )"	"2.41 ( 0.12 )"	"0.23 ( 0.04 )"	7.18	0.18	0.83	2.41	0.23	"lasso"
50	100	0.9	2	0.26	"0.7 ( 0.01 )"	"3.29 ( 0.23 )"	"4.29 ( 0.09 )"	4	0.45	0.7	3.29	4.29	"lasso"
100	100	0.9	1	0.32	"0.76 ( 0.01 )"	"4.77 ( 0.33 )"	"3.26 ( 0.09 )"	6.51	0.46	0.76	4.77	3.26	"lasso"
500	100	0.9	0.2	0.45	"0.82 ( 0 )"	"5.65 ( 0.21 )"	"0.92 ( 0.09 )"	9.73	0.45	0.82	5.65	0.92	"lasso"
1000	100	0.9	0.1	0.63	"0.83 ( 0 )"	"3.87 ( 0.18 )"	"0.24 ( 0.05 )"	8.63	0.3	0.83	3.87	0.24	"lasso"
50	500	0.9	10	0.15	"0.66 ( 0.01 )"	"5.8 ( 0.24 )"	"4.65 ( 0.07 )"	6.15	0.75	0.66	5.8	4.65	"lasso"
100	500	0.9	5	0.21	"0.7 ( 0.01 )"	"5.55 ( 0.55 )"	"4.14 ( 0.09 )"	6.41	0.51	0.7	5.55	4.14	"lasso"
