"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
100	100	"0.7"	1	0.28	"0.82 ( 0.01 )"	"9.65 ( 0.48 )"	"0.97 ( 0.1 )"	13.68	"0.59"	0.82	9.65	0.97
500	100	"0.7"	0.2	0.36	"0.91 ( 0 )"	"10.19 ( 0.37 )"	"0 ( 0 )"	15.19	"0.58"	0.91	10.19	0
1000	100	"0.7"	0.1	0.59	"0.92 ( 0 )"	"4.81 ( 0.19 )"	"0 ( 0 )"	9.81	"0.37"	0.92	4.81	0
50	500	"0.7"	10	0.09	"0.66 ( 0.01 )"	"9.13 ( 0.25 )"	"4.14 ( 0.08 )"	9.99	"0.81"	0.66	9.13	4.14
100	500	"0.7"	5	0.21	"0.75 ( 0.01 )"	"9.59 ( 0.72 )"	"2.44 ( 0.11 )"	12.15	"0.61"	0.75	9.59	2.44
500	500	"0.7"	1	0.18	"0.9 ( 0 )"	"26.2 ( 0.86 )"	"0 ( 0 )"	31.2	"0.79"	0.9	26.2	0
1000	500	"0.7"	0.5	0.28	"0.91 ( 0 )"	"15.6 ( 0.55 )"	"0 ( 0 )"	20.6	"0.68"	0.91	15.6	0
50	1000	"0.7"	20	0.05	"0.64 ( 0.01 )"	"11.44 ( 0.28 )"	"4.51 ( 0.08 )"	11.93	"0.87"	0.64	11.44	4.51
100	1000	"0.7"	10	0.18	"0.71 ( 0.01 )"	"10.03 ( 0.71 )"	"2.95 ( 0.1 )"	12.08	"0.65"	0.71	10.03	2.95
500	1000	"0.7"	2	0.14	"0.9 ( 0 )"	"34.85 ( 1.14 )"	"0 ( 0 )"	39.85	"0.83"	0.9	34.85	0
1000	1000	"0.7"	1	0.2	"0.91 ( 0 )"	"24.83 ( 0.82 )"	"0 ( 0 )"	29.83	"0.78"	0.91	24.83	0
50	50	"0.9"	1	0.3	"0.73 ( 0.01 )"	"4.4 ( 0.26 )"	"2.55 ( 0.11 )"	6.85	"0.44"	0.73	4.4	2.55
100	50	"0.9"	0.5	0.33	"0.85 ( 0.01 )"	"8.14 ( 0.35 )"	"0.42 ( 0.06 )"	12.72	"0.53"	0.85	8.14	0.42
500	50	"0.9"	0.1	0.54	"0.92 ( 0 )"	"5.15 ( 0.22 )"	"0 ( 0 )"	10.15	"0.38"	0.92	5.15	0
1000	50	"0.9"	0.05	0.76	"0.92 ( 0 )"	"2.61 ( 0.13 )"	"0 ( 0 )"	7.61	"0.19"	0.92	2.61	0
50	100	"0.9"	2	0.23	"0.7 ( 0.01 )"	"4.84 ( 0.24 )"	"3.3 ( 0.09 )"	6.54	"0.54"	0.7	4.84	3.3
100	100	"0.9"	1	0.28	"0.81 ( 0.01 )"	"9.92 ( 0.51 )"	"0.87 ( 0.08 )"	14.05	"0.57"	0.81	9.92	0.87
500	100	"0.9"	0.2	0.37	"0.92 ( 0 )"	"9.65 ( 0.35 )"	"0 ( 0 )"	14.65	"0.57"	0.92	9.65	0
1000	100	"0.9"	0.1	0.62	"0.93 ( 0 )"	"4.29 ( 0.18 )"	"0 ( 0 )"	9.29	"0.33"	0.93	4.29	0
50	500	"0.9"	10	0.08	"0.62 ( 0.01 )"	"8.99 ( 0.26 )"	"4.13 ( 0.09 )"	9.86	"0.8"	0.62	8.99	4.13
100	500	"0.9"	5	0.23	"0.74 ( 0.01 )"	"8.85 ( 0.62 )"	"2.4 ( 0.12 )"	11.45	"0.6"	0.74	8.85	2.4
500	500	"0.9"	1	0.19	"0.91 ( 0 )"	"24.91 ( 0.78 )"	"0 ( 0 )"	29.91	"0.78"	0.91	24.91	0
1000	500	"0.9"	0.5	0.31	"0.92 ( 0 )"	"14.12 ( 0.43 )"	"0 ( 0 )"	19.12	"0.67"	0.92	14.12	0
50	1000	"0.9"	20	0.07	"0.64 ( 0.01 )"	"10.81 ( 0.29 )"	"4.22 ( 0.08 )"	11.59	"0.84"	0.64	10.81	4.22
100	1000	"0.9"	10	0.19	"0.74 ( 0.01 )"	"11.15 ( 0.75 )"	"2.44 ( 0.11 )"	13.71	"0.65"	0.74	11.15	2.44
500	1000	"0.9"	2	0.14	"0.91 ( 0 )"	"34.98 ( 1.04 )"	"0 ( 0 )"	39.98	"0.83"	0.91	34.98	0
1000	1000	"0.9"	1	0.22	"0.92 ( 0 )"	"22.21 ( 0.73 )"	"0 ( 0 )"	27.21	"0.76"	0.92	22.21	0
