"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
1000	1000	"0.3"	1	0.29	"0.86 ( 0 )"	"15.19 ( 1.67 )"	"0 ( 0 )"	20.19	"0.51"	0.86	15.19	0
50	50	"0.5"	1	0.11	"0.7 ( 0.01 )"	"13.99 ( 0.96 )"	"1.59 ( 0.12 )"	17.4	"0.68"	0.7	13.99	1.59
100	50	"0.5"	0.5	0.21	"0.8 ( 0.01 )"	"11.28 ( 0.76 )"	"0.81 ( 0.1 )"	15.47	"0.57"	0.8	11.28	0.81
500	50	"0.5"	0.1	0.35	"0.88 ( 0 )"	"9.06 ( 0.77 )"	"0 ( 0 )"	14.06	"0.46"	0.88	9.06	0
1000	50	"0.5"	0.05	0.39	"0.9 ( 0 )"	"8.03 ( 0.81 )"	"0 ( 0 )"	13.03	"0.4"	0.9	8.03	0
50	100	"0.5"	2	0.06	"0.68 ( 0.01 )"	"25.61 ( 2.1 )"	"1.79 ( 0.12 )"	28.82	"0.77"	0.68	25.61	1.79
100	100	"0.5"	1	0.18	"0.79 ( 0.01 )"	"13.99 ( 1.21 )"	"1.12 ( 0.1 )"	17.87	"0.6"	0.79	13.99	1.12
500	100	"0.5"	0.2	0.32	"0.89 ( 0 )"	"11.65 ( 1.03 )"	"0 ( 0 )"	16.65	"0.52"	0.89	11.65	0
1000	100	"0.5"	0.1	0.38	"0.89 ( 0 )"	"9.51 ( 0.97 )"	"0 ( 0 )"	14.51	"0.43"	0.89	9.51	0
50	500	"0.5"	10	0.02	"0.61 ( 0.01 )"	"72.53 ( 6.75 )"	"2.72 ( 0.13 )"	74.81	"0.92"	0.61	72.53	2.72
100	500	"0.5"	5	0.08	"0.7 ( 0.01 )"	"32.65 ( 4.21 )"	"1.9 ( 0.11 )"	35.75	"0.76"	0.7	32.65	1.9
500	500	"0.5"	1	0.23	"0.88 ( 0 )"	"20.07 ( 1.75 )"	"0 ( 0 )"	25.07	"0.63"	0.88	20.07	0
1000	500	"0.5"	0.5	0.3	"0.89 ( 0 )"	"14.5 ( 1.43 )"	"0 ( 0 )"	19.5	"0.53"	0.89	14.5	0
50	1000	"0.5"	20	0.01	"0.62 ( 0.01 )"	"85.83 ( 8.57 )"	"3.31 ( 0.12 )"	87.52	"0.94"	0.62	85.83	3.31
100	1000	"0.5"	10	0.05	"0.67 ( 0.01 )"	"51.72 ( 6.91 )"	"2.12 ( 0.12 )"	54.6	"0.83"	0.67	51.72	2.12
500	1000	"0.5"	2	0.24	"0.88 ( 0 )"	"19.39 ( 1.85 )"	"0.02 ( 0.01 )"	24.37	"0.59"	0.88	19.39	0.02
1000	1000	"0.5"	1	0.27	"0.89 ( 0 )"	"17.02 ( 1.92 )"	"0 ( 0 )"	22.02	"0.54"	0.89	17.02	0
50	50	"0.7"	1	0.13	"0.73 ( 0.01 )"	"12.65 ( 0.97 )"	"1.61 ( 0.12 )"	16.04	"0.63"	0.73	12.65	1.61
100	50	"0.7"	0.5	0.22	"0.81 ( 0.01 )"	"11.53 ( 0.67 )"	"0.54 ( 0.09 )"	15.99	"0.58"	0.81	11.53	0.54
500	50	"0.7"	0.1	0.34	"0.91 ( 0 )"	"9.34 ( 0.72 )"	"0 ( 0 )"	14.34	"0.48"	0.91	9.34	0
1000	50	"0.7"	0.05	0.36	"0.91 ( 0 )"	"8.58 ( 0.78 )"	"0 ( 0 )"	13.58	"0.42"	0.91	8.58	0
50	100	"0.7"	2	0.07	"0.69 ( 0.01 )"	"24.95 ( 1.99 )"	"1.47 ( 0.1 )"	28.48	"0.76"	0.69	24.95	1.47
100	100	"0.7"	1	0.17	"0.79 ( 0.01 )"	"15.63 ( 1.26 )"	"0.96 ( 0.11 )"	19.67	"0.63"	0.79	15.63	0.96
500	100	"0.7"	0.2	0.34	"0.9 ( 0 )"	"10.78 ( 0.81 )"	"0.01 ( 0.01 )"	15.77	"0.5"	0.9	10.78	0.01
1000	100	"0.7"	0.1	0.38	"0.91 ( 0 )"	"9.42 ( 0.9 )"	"0 ( 0 )"	14.42	"0.44"	0.91	9.42	0
50	500	"0.7"	10	0.02	"0.62 ( 0.01 )"	"66.01 ( 6.05 )"	"2.75 ( 0.12 )"	68.26	"0.92"	0.62	66.01	2.75
100	500	"0.7"	5	0.1	"0.74 ( 0.01 )"	"25.15 ( 2.8 )"	"1.84 ( 0.12 )"	28.31	"0.71"	0.74	25.15	1.84
500	500	"0.7"	1	0.25	"0.9 ( 0 )"	"17.68 ( 1.71 )"	"0 ( 0 )"	22.68	"0.59"	0.9	17.68	0
1000	500	"0.7"	0.5	0.31	"0.91 ( 0 )"	"13.6 ( 1.43 )"	"0 ( 0 )"	18.6	"0.51"	0.91	13.6	0
50	1000	"0.7"	20	0.01	"0.62 ( 0.01 )"	"86.38 ( 8.91 )"	"3.09 ( 0.13 )"	88.29	"0.93"	0.62	86.38	3.09
100	1000	"0.7"	10	0.06	"0.69 ( 0.01 )"	"44.56 ( 6.27 )"	"2.12 ( 0.11 )"	47.44	"0.82"	0.69	44.56	2.12
