"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
100	50	"0.7"	0.5	0.16	"1 ( 0 )"	"1.87 ( 0.14 )"	"4.88 ( 0.08 )"	2.96	"0.57"	1	1.87	4.88
500	50	"0.7"	0.1	0.45	"1 ( 0 )"	"2.14 ( 0.13 )"	"3.36 ( 0.08 )"	4.78	"0.43"	1	2.14	3.36
1000	50	"0.7"	0.05	0.6	"1 ( 0 )"	"2.66 ( 0.14 )"	"2.27 ( 0.08 )"	6.39	"0.39"	1	2.66	2.27
50	100	"0.7"	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	100	"0.7"	1	0.08	"1 ( 0 )"	"4.36 ( 0.22 )"	"4.8 ( 0.09 )"	5.56	"0.77"	1	4.36	4.8
500	100	"0.7"	0.2	0.38	"1 ( 0 )"	"4.03 ( 0.18 )"	"3.1 ( 0.09 )"	6.93	"0.56"	1	4.03	3.1
1000	100	"0.7"	0.1	0.5	"1 ( 0 )"	"4.65 ( 0.22 )"	"2 ( 0.07 )"	8.65	"0.51"	1	4.65	2
50	500	"0.7"	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	500	"0.7"	5	0.02	"1 ( 0 )"	"23.58 ( 0.53 )"	"4.72 ( 0.09 )"	24.86	"0.95"	1	23.58	4.72
500	500	"0.7"	1	0.1	"1 ( 0 )"	"23.09 ( 0.56 )"	"3.38 ( 0.09 )"	25.71	"0.89"	1	23.09	3.38
1000	500	"0.7"	0.5	0.14	"1 ( 0 )"	"23.33 ( 0.53 )"	"2.58 ( 0.07 )"	26.75	"0.87"	1	23.33	2.58
50	1000	"0.7"	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	1000	"0.7"	10	0.01	"1 ( 0 )"	"46.8 ( 0.69 )"	"5.13 ( 0.07 )"	47.67	"0.98"	1	46.8	5.13
500	1000	"0.7"	2	0.05	"1 ( 0 )"	"48.68 ( 0.77 )"	"3.54 ( 0.08 )"	51.14	"0.95"	1	48.68	3.54
1000	1000	"0.7"	1	0.07	"1 ( 0 )"	"47.14 ( 0.7 )"	"2.73 ( 0.07 )"	50.41	"0.93"	1	47.14	2.73
50	50	"0.9"	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	50	"0.9"	0.5	0.12	"1 ( 0 )"	"2.09 ( 0.16 )"	"4.98 ( 0.09 )"	3.06	"0.62"	1	2.09	4.98
500	50	"0.9"	0.1	0.45	"1 ( 0 )"	"2.6 ( 0.13 )"	"3.33 ( 0.08 )"	5.27	"0.47"	1	2.6	3.33
1000	50	"0.9"	0.05	0.51	"1 ( 0 )"	"3.48 ( 0.17 )"	"2.35 ( 0.08 )"	7.13	"0.47"	1	3.48	2.35
50	100	"0.9"	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	100	"0.9"	1	0.07	"1 ( 0 )"	"4.4 ( 0.23 )"	"4.96 ( 0.09 )"	5.43	"0.81"	1	4.4	4.96
500	100	"0.9"	0.2	0.35	"1 ( 0 )"	"4.57 ( 0.24 )"	"3.5 ( 0.08 )"	7.07	"0.62"	1	4.57	3.5
1000	100	"0.9"	0.1	0.37	"1 ( 0 )"	"6.43 ( 0.28 )"	"2.57 ( 0.08 )"	9.86	"0.63"	1	6.43	2.57
50	500	"0.9"	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	500	"0.9"	5	0.01	"1 ( 0 )"	"24.58 ( 0.66 )"	"5.1 ( 0.09 )"	25.48	"0.96"	1	24.58	5.1
500	500	"0.9"	1	0.08	"1 ( 0 )"	"24.91 ( 0.57 )"	"3.53 ( 0.09 )"	27.38	"0.91"	1	24.91	3.53
1000	500	"0.9"	0.5	0.13	"1 ( 0 )"	"24.53 ( 0.53 )"	"2.84 ( 0.08 )"	27.69	"0.88"	1	24.53	2.84
50	1000	"0.9"	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	1000	"0.9"	10	0	"1 ( 0 )"	"47.19 ( 0.96 )"	"5.2 ( 0.08 )"	47.99	"0.98"	1	47.19	5.2
500	1000	"0.9"	2	0.04	"1 ( 0 )"	"48.11 ( 0.92 )"	"3.78 ( 0.08 )"	50.33	"0.95"	1	48.11	3.78
1000	1000	"0.9"	1	0.07	"1 ( 0 )"	"49.47 ( 0.78 )"	"2.97 ( 0.07 )"	52.5	"0.94"	1	49.47	2.97
