"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	100	"0.7"	2	0.07	"0.96 ( 0 )"	"24.54 ( 1.62 )"	"2.08 ( 0.11 )"	28.46	"0.84"	0.96	24.54	2.08
100	100	"0.7"	1	0.16	"0.89 ( 0 )"	"14.69 ( 1.28 )"	"1.85 ( 0.08 )"	18.84	"0.71"	0.89	14.69	1.85
500	100	"0.7"	0.2	0.55	"0.86 ( 0 )"	"2.19 ( 0.64 )"	"2.33 ( 0.07 )"	5.86	"0.18"	0.86	2.19	2.33
1000	100	"0.7"	0.1	0.81	"0.85 ( 0 )"	"0.51 ( 0.1 )"	"2.56 ( 0.05 )"	3.95	"0.09"	0.85	0.51	2.56
50	500	"0.7"	10	0.02	"1 ( 0 )"	"161.23 ( 7.83 )"	"1.29 ( 0.1 )"	165.94	"0.96"	1	161.23	1.29
100	500	"0.7"	5	0.06	"0.96 ( 0 )"	"60.05 ( 4.29 )"	"1.63 ( 0.12 )"	64.42	"0.92"	0.96	60.05	1.63
500	500	"0.7"	1	0.5	"0.85 ( 0 )"	"3.12 ( 1.31 )"	"2.68 ( 0.07 )"	6.44	"0.19"	0.85	3.12	2.68
1000	500	"0.7"	0.5	0.89	"0.85 ( 0 )"	"0.39 ( 0.06 )"	"2.88 ( 0.04 )"	3.51	"0.09"	0.85	0.39	2.88
50	1000	"0.7"	20	0.01	"1 ( 0 )"	"363.91 ( 11.45 )"	"1.39 ( 0.1 )"	368.52	"0.99"	1	363.91	1.39
100	1000	"0.7"	10	0.03	"0.99 ( 0 )"	"145.9 ( 7.62 )"	"1.24 ( 0.11 )"	150.66	"0.96"	0.99	145.9	1.24
500	1000	"0.7"	2	0.61	"0.85 ( 0 )"	"2.38 ( 0.4 )"	"2.7 ( 0.06 )"	5.68	"0.27"	0.85	2.38	2.7
1000	1000	"0.7"	1	0.87	"0.85 ( 0 )"	"0.65 ( 0.08 )"	"2.87 ( 0.04 )"	3.78	"0.14"	0.85	0.65	2.87
50	50	"0.9"	1	0.14	"0.84 ( 0.01 )"	"9.98 ( 0.78 )"	"2.68 ( 0.11 )"	13.3	"0.7"	0.84	9.98	2.68
100	50	"0.9"	0.5	0.25	"0.8 ( 0 )"	"6.57 ( 0.7 )"	"2.73 ( 0.09 )"	9.84	"0.58"	0.8	6.57	2.73
500	50	"0.9"	0.1	0.52	"0.8 ( 0 )"	"2.9 ( 0.5 )"	"2.75 ( 0.07 )"	6.15	"0.33"	0.8	2.9	2.75
1000	50	"0.9"	0.05	0.7	"0.8 ( 0 )"	"1.88 ( 0.19 )"	"2.79 ( 0.05 )"	5.09	"0.3"	0.8	1.88	2.79
50	100	"0.9"	2	0.1	"0.87 ( 0.01 )"	"15.93 ( 1 )"	"2.88 ( 0.1 )"	19.05	"0.81"	0.87	15.93	2.88
100	100	"0.9"	1	0.14	"0.81 ( 0 )"	"14.34 ( 1.4 )"	"2.75 ( 0.1 )"	17.59	"0.73"	0.81	14.34	2.75
500	100	"0.9"	0.2	0.56	"0.8 ( 0 )"	"3.51 ( 0.44 )"	"2.86 ( 0.04 )"	6.65	"0.4"	0.8	3.51	2.86
1000	100	"0.9"	0.1	0.57	"0.8 ( 0 )"	"3.18 ( 0.59 )"	"2.86 ( 0.04 )"	6.32	"0.34"	0.8	3.18	2.86
50	500	"0.9"	10	0.02	"0.99 ( 0 )"	"95.52 ( 6.42 )"	"2.37 ( 0.15 )"	99.15	"0.95"	0.99	95.52	2.37
100	500	"0.9"	5	0.04	"0.88 ( 0 )"	"53.08 ( 3.93 )"	"2.8 ( 0.12 )"	56.28	"0.93"	0.88	53.08	2.8
500	500	"0.9"	1	0.4	"0.79 ( 0 )"	"6.75 ( 0.73 )"	"2.76 ( 0.07 )"	9.99	"0.56"	0.79	6.75	2.76
1000	500	"0.9"	0.5	0.73	"0.8 ( 0 )"	"2.48 ( 0.28 )"	"2.79 ( 0.05 )"	5.69	"0.37"	0.8	2.48	2.79
50	1000	"0.9"	20	0.01	"1 ( 0 )"	"201.98 ( 10.15 )"	"2.34 ( 0.16 )"	205.64	"0.98"	1	201.98	2.34
100	1000	"0.9"	10	0.03	"0.95 ( 0 )"	"70.81 ( 4.4 )"	"3.05 ( 0.12 )"	73.76	"0.96"	0.95	70.81	3.05
500	1000	"0.9"	2	0.38	"0.79 ( 0 )"	"7.71 ( 1.09 )"	"2.85 ( 0.06 )"	10.86	"0.59"	0.79	7.71	2.85
1000	1000	"0.9"	1	0.76	"0.8 ( 0 )"	"2.41 ( 0.17 )"	"2.77 ( 0.07 )"	5.64	"0.39"	0.8	2.41	2.77
