"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
1000	100	0.1	0.1	0.25	"1 ( 0 )"	"5.43 ( 0.26 )"	"2.89 ( 0.14 )"	8.54	0.62	1	5.43	2.89	"rf"
50	500	0.1	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0.1	5	0	"1 ( 0 )"	"24.14 ( 0.56 )"	"5.35 ( 0.11 )"	24.79	0.97	1	24.14	5.35	"rf"
500	500	0.1	1	0.03	"1 ( 0 )"	"24.48 ( 0.54 )"	"4.25 ( 0.16 )"	26.23	0.93	1	24.48	4.25	"rf"
1000	500	0.1	0.5	0.07	"1 ( 0 )"	"24.08 ( 0.54 )"	"3.1 ( 0.16 )"	26.98	0.89	1	24.08	3.1	"rf"
50	1000	0.1	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0.1	10	0	"1 ( 0 )"	"48.22 ( 0.62 )"	"5.53 ( 0.09 )"	48.69	0.99	1	48.22	5.53	"rf"
500	1000	0.1	2	0.01	"1 ( 0 )"	"50.18 ( 0.78 )"	"4.63 ( 0.12 )"	51.55	0.97	1	50.18	4.63	"rf"
1000	1000	0.1	1	0.04	"1 ( 0 )"	"49.43 ( 0.66 )"	"3.23 ( 0.14 )"	52.2	0.95	1	49.43	3.23	"rf"
50	50	0.3	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	50	0.3	0.5	0.02	"1 ( 0 )"	"2.13 ( 0.12 )"	"5.14 ( 0.08 )"	2.96	0.71	1	2.13	5.14	"rf"
500	50	0.3	0.1	0.46	"1 ( 0 )"	"1.43 ( 0.11 )"	"2.59 ( 0.11 )"	4.84	0.27	1	1.43	2.59	"rf"
1000	50	0.3	0.05	0.6	"1 ( 0 )"	"1.44 ( 0.13 )"	"1.35 ( 0.08 )"	6.09	0.21	1	1.44	1.35	"rf"
50	100	0.3	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	100	0.3	1	0.01	"1 ( 0 )"	"4.84 ( 0.18 )"	"5.1 ( 0.08 )"	5.73	0.84	1	4.84	5.1	"rf"
500	100	0.3	0.2	0.28	"1 ( 0 )"	"3.77 ( 0.17 )"	"2.76 ( 0.1 )"	7.01	0.52	1	3.77	2.76	"rf"
1000	100	0.3	0.1	0.44	"1 ( 0 )"	"3.43 ( 0.18 )"	"1.5 ( 0.09 )"	7.93	0.41	1	3.43	1.5	"rf"
50	500	0.3	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0.3	5	0	"1 ( 0 )"	"24.49 ( 0.47 )"	"5.11 ( 0.08 )"	25.38	0.96	1	24.49	5.11	"rf"
500	500	0.3	1	0.06	"1 ( 0 )"	"23.05 ( 0.49 )"	"3.15 ( 0.09 )"	25.9	0.89	1	23.05	3.15	"rf"
1000	500	0.3	0.5	0.11	"1 ( 0 )"	"22.18 ( 0.49 )"	"1.91 ( 0.09 )"	26.27	0.84	1	22.18	1.91	"rf"
50	1000	0.3	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0.3	10	0	"1 ( 0 )"	"46.96 ( 0.66 )"	"5.18 ( 0.08 )"	47.78	0.98	1	46.96	5.18	"rf"
500	1000	0.3	2	0.02	"1 ( 0 )"	"48.39 ( 0.72 )"	"3.64 ( 0.1 )"	50.75	0.95	1	48.39	3.64	"rf"
1000	1000	0.3	1	0.06	"1 ( 0 )"	"47.08 ( 0.59 )"	"2.05 ( 0.09 )"	51.03	0.92	1	47.08	2.05	"rf"
50	50	0.5	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	50	0.5	0.5	0.04	"1 ( 0 )"	"2.2 ( 0.13 )"	"5.06 ( 0.08 )"	3.12	0.67	1	2.2	5.06	"rf"
500	50	0.5	0.1	0.49	"1 ( 0 )"	"1.41 ( 0.12 )"	"2.45 ( 0.08 )"	4.96	0.25	1	1.41	2.45	"rf"
1000	50	0.5	0.05	0.61	"1 ( 0 )"	"1.24 ( 0.11 )"	"1.46 ( 0.09 )"	5.78	0.19	1	1.24	1.46	"rf"
50	100	0.5	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	100	0.5	1	0.02	"1 ( 0 )"	"4.57 ( 0.17 )"	"4.99 ( 0.08 )"	5.58	0.82	1	4.57	4.99	"rf"
500	100	0.5	0.2	0.35	"1 ( 0 )"	"3.49 ( 0.17 )"	"2.37 ( 0.09 )"	7.12	0.46	1	3.49	2.37	"rf"
1000	100	0.5	0.1	0.51	"1 ( 0 )"	"2.74 ( 0.15 )"	"1.23 ( 0.08 )"	7.51	0.34	1	2.74	1.23	"rf"
50	500	0.5	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0.5	5	0.01	"1 ( 0 )"	"23.18 ( 0.51 )"	"5.07 ( 0.08 )"	24.11	0.96	1	23.18	5.07	"rf"
500	500	0.5	1	0.08	"1 ( 0 )"	"23.59 ( 0.47 )"	"2.72 ( 0.09 )"	26.87	0.88	1	23.59	2.72	"rf"
1000	500	0.5	0.5	0.13	"1 ( 0 )"	"22.56 ( 0.46 )"	"1.56 ( 0.1 )"	27	0.83	1	22.56	1.56	"rf"
50	1000	0.5	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0.5	10	0	"1 ( 0 )"	"47.59 ( 0.62 )"	"5.2 ( 0.08 )"	48.39	0.98	1	47.59	5.2	"rf"
500	1000	0.5	2	0.03	"1 ( 0 )"	"47.63 ( 0.72 )"	"3.12 ( 0.11 )"	50.51	0.94	1	47.63	3.12	"rf"
1000	1000	0.5	1	0.06	"1 ( 0 )"	"48.12 ( 0.7 )"	"1.83 ( 0.08 )"	52.29	0.92	1	48.12	1.83	"rf"
50	50	0.7	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	50	0.7	0.5	0.05	"1 ( 0 )"	"2.01 ( 0.13 )"	"5 ( 0.08 )"	2.99	0.65	1	2.01	5	"rf"
500	50	0.7	0.1	0.53	"1 ( 0 )"	"1.29 ( 0.11 )"	"2.25 ( 0.08 )"	5.04	0.23	1	1.29	2.25	"rf"
1000	50	0.7	0.05	0.63	"1 ( 0 )"	"1.29 ( 0.11 )"	"1.3 ( 0.08 )"	5.99	0.19	1	1.29	1.3	"rf"
50	100	0.7	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	100	0.7	1	0.03	"1 ( 0 )"	"4.35 ( 0.18 )"	"4.98 ( 0.07 )"	5.37	0.8	1	4.35	4.98	"rf"
500	100	0.7	0.2	0.34	"1 ( 0 )"	"3.46 ( 0.18 )"	"2.53 ( 0.09 )"	6.93	0.47	1	3.46	2.53	"rf"
1000	100	0.7	0.1	0.48	"1 ( 0 )"	"3.04 ( 0.15 )"	"1.27 ( 0.08 )"	7.77	0.37	1	3.04	1.27	"rf"
50	500	0.7	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0.7	5	0.01	"1 ( 0 )"	"23.78 ( 0.44 )"	"4.93 ( 0.08 )"	24.85	0.96	1	23.78	4.93	"rf"
500	500	0.7	1	0.08	"1 ( 0 )"	"23.14 ( 0.52 )"	"2.73 ( 0.09 )"	26.41	0.87	1	23.14	2.73	"rf"
1000	500	0.7	0.5	0.13	"1 ( 0 )"	"21.58 ( 0.49 )"	"1.57 ( 0.08 )"	26.01	0.82	1	21.58	1.57	"rf"
50	1000	0.7	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0.7	10	0	"1 ( 0 )"	"47.84 ( 0.72 )"	"5 ( 0.09 )"	48.84	0.98	1	47.84	5	"rf"
500	1000	0.7	2	0.04	"1 ( 0 )"	"47.31 ( 0.68 )"	"2.9 ( 0.1 )"	50.41	0.94	1	47.31	2.9	"rf"
1000	1000	0.7	1	0.06	"1 ( 0 )"	"46.57 ( 0.73 )"	"1.71 ( 0.08 )"	50.86	0.91	1	46.57	1.71	"rf"
50	50	0.9	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	50	0.9	0.5	0.05	"1 ( 0 )"	"2.2 ( 0.13 )"	"5 ( 0.08 )"	3.19	0.66	1	2.2	5	"rf"
500	50	0.9	0.1	0.53	"1 ( 0 )"	"1.28 ( 0.1 )"	"2.32 ( 0.08 )"	4.96	0.23	1	1.28	2.32	"rf"
1000	50	0.9	0.05	0.67	"1 ( 0 )"	"0.93 ( 0.09 )"	"1.31 ( 0.09 )"	5.62	0.15	1	0.93	1.31	"rf"
50	100	0.9	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	100	0.9	1	0.04	"1 ( 0 )"	"4.24 ( 0.16 )"	"4.83 ( 0.09 )"	5.4	0.79	1	4.24	4.83	"rf"
500	100	0.9	0.2	0.36	"1 ( 0 )"	"3.54 ( 0.19 )"	"2.29 ( 0.09 )"	7.25	0.46	1	3.54	2.29	"rf"
1000	100	0.9	0.1	0.53	"1 ( 0 )"	"2.53 ( 0.14 )"	"1.31 ( 0.08 )"	7.22	0.33	1	2.53	1.31	"rf"
50	500	0.9	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0.9	5	0.01	"1 ( 0 )"	"23.63 ( 0.45 )"	"5.04 ( 0.08 )"	24.59	0.96	1	23.63	5.04	"rf"
500	500	0.9	1	0.07	"1 ( 0 )"	"24.29 ( 0.42 )"	"2.65 ( 0.09 )"	27.64	0.88	1	24.29	2.65	"rf"
1000	500	0.9	0.5	0.13	"1 ( 0 )"	"21.42 ( 0.42 )"	"1.49 ( 0.08 )"	25.93	0.82	1	21.42	1.49	"rf"
50	1000	0.9	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0.9	10	0	"1 ( 0 )"	"47.48 ( 0.72 )"	"4.95 ( 0.08 )"	48.53	0.98	1	47.48	4.95	"rf"
500	1000	0.9	2	0.04	"1 ( 0 )"	"48.09 ( 0.7 )"	"2.94 ( 0.09 )"	51.15	0.94	1	48.09	2.94	"rf"
1000	1000	0.9	1	0.07	"1 ( 0 )"	"45.6 ( 0.72 )"	"1.63 ( 0.08 )"	49.97	0.91	1	45.6	1.63	"rf"
50	50	0.1	1	0.02	"0.58 ( 0.01 )"	"1.68 ( 0.53 )"	"5.42 ( 0.1 )"	2.26	0.58	0.58	1.68	5.42	"compLasso"
100	50	0.1	0.5	0.06	"0.51 ( 0 )"	"0.08 ( 0.04 )"	"5.65 ( 0.08 )"	0.43	0.18	0.51	0.08	5.65	"compLasso"
500	50	0.1	0.1	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	NA	0.5	0	6	"compLasso"
1000	50	0.1	0.05	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	NA	0.5	0	6	"compLasso"
50	100	0.1	2	0.04	"0.61 ( 0.01 )"	"3.43 ( 0.63 )"	"5.23 ( 0.1 )"	4.2	0.71	0.61	3.43	5.23	"compLasso"
100	100	0.1	1	0.03	"0.51 ( 0 )"	"0.31 ( 0.1 )"	"5.8 ( 0.05 )"	0.51	0.53	0.51	0.31	5.8	"compLasso"
500	100	0.1	0.2	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	NA	0.5	0	6	"compLasso"
1000	100	0.1	0.1	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	NA	0.5	0	6	"compLasso"
50	500	0.1	10	0	"0.73 ( 0.01 )"	"29.62 ( 7.94 )"	"5.17 ( 0.13 )"	30.45	0.9	0.73	29.62	5.17	"compLasso"
100	500	0.1	5	0.04	"0.53 ( 0.01 )"	"0.53 ( 0.1 )"	"5.63 ( 0.08 )"	0.9	0.57	0.53	0.53	5.63	"compLasso"
500	500	0.1	1	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	NA	0.5	0	6	"compLasso"
1000	500	0.1	0.5	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	NA	0.5	0	6	"compLasso"
50	1000	0.1	20	0.01	"0.83 ( 0.01 )"	"17.45 ( 2.89 )"	"5.37 ( 0.1 )"	18.08	0.94	0.83	17.45	5.37	"compLasso"
100	1000	0.1	10	0.03	"0.56 ( 0.01 )"	"1.27 ( 0.25 )"	"5.59 ( 0.08 )"	1.68	0.73	0.56	1.27	5.59	"compLasso"
500	1000	0.1	2	0	"0.5 ( 0 )"	"0 ( 0 )"	"5.98 ( 0.02 )"	0.02	0	0.5	0	5.98	"compLasso"
1000	1000	0.1	1	NA	"0.5 ( 0 )"	"0 ( 0 )"	"6 ( 0 )"	0	NA	0.5	0	6	"compLasso"
50	50	0.3	1	0.14	"0.86 ( 0.01 )"	"9.81 ( 1.05 )"	"1.78 ( 0.11 )"	14.03	0.6	0.86	9.81	1.78	"compLasso"
100	50	0.3	0.5	0.37	"0.83 ( 0.01 )"	"3.64 ( 0.75 )"	"1.7 ( 0.09 )"	7.94	0.27	0.83	3.64	1.7	"compLasso"
500	50	0.3	0.1	0.81	"0.81 ( 0 )"	"0.02 ( 0.01 )"	"1.75 ( 0.09 )"	4.27	0	0.81	0.02	1.75	"compLasso"
1000	50	0.3	0.05	0.81	"0.8 ( 0 )"	"0.06 ( 0.05 )"	"1.7 ( 0.09 )"	4.36	0.01	0.8	0.06	1.7	"compLasso"
50	100	0.3	2	0.1	"0.9 ( 0 )"	"16.32 ( 1.58 )"	"2.2 ( 0.11 )"	20.12	0.74	0.9	16.32	2.2	"compLasso"
100	100	0.3	1	0.31	"0.84 ( 0 )"	"5.71 ( 1.02 )"	"1.72 ( 0.1 )"	9.99	0.41	0.84	5.71	1.72	"compLasso"
500	100	0.3	0.2	0.8	"0.81 ( 0 )"	"0.12 ( 0.06 )"	"1.7 ( 0.09 )"	4.42	0.01	0.81	0.12	1.7	"compLasso"
1000	100	0.3	0.1	0.74	"0.8 ( 0 )"	"0.49 ( 0.26 )"	"2.05 ( 0.08 )"	4.44	0.04	0.8	0.49	2.05	"compLasso"
50	500	0.3	10	0.02	"1 ( 0 )"	"105.94 ( 7.57 )"	"2.04 ( 0.11 )"	109.9	0.95	1	105.94	2.04	"compLasso"
100	500	0.3	5	0.12	"0.88 ( 0.01 )"	"23.82 ( 3.36 )"	"1.9 ( 0.09 )"	27.92	0.75	0.88	23.82	1.9	"compLasso"
500	500	0.3	1	0.79	"0.8 ( 0 )"	"0.24 ( 0.08 )"	"1.86 ( 0.09 )"	4.38	0.03	0.8	0.24	1.86	"compLasso"
1000	500	0.3	0.5	0.73	"0.8 ( 0 )"	"0.63 ( 0.15 )"	"1.85 ( 0.09 )"	4.78	0.08	0.8	0.63	1.85	"compLasso"
50	1000	0.3	20	0.02	"1 ( 0 )"	"154.21 ( 5.09 )"	"2.09 ( 0.1 )"	158.12	0.97	1	154.21	2.09	"compLasso"
100	1000	0.3	10	0.07	"0.91 ( 0 )"	"36.7 ( 6.19 )"	"2.26 ( 0.1 )"	40.44	0.84	0.91	36.7	2.26	"compLasso"
500	1000	0.3	2	0.74	"0.81 ( 0 )"	"0.57 ( 0.15 )"	"1.66 ( 0.09 )"	4.91	0.07	0.81	0.57	1.66	"compLasso"
1000	1000	0.3	1	0.73	"0.8 ( 0 )"	"0.7 ( 0.15 )"	"1.84 ( 0.09 )"	4.86	0.09	0.8	0.7	1.84	"compLasso"
50	50	0.5	1	0.2	"0.92 ( 0 )"	"9.67 ( 0.64 )"	"1.26 ( 0.09 )"	14.41	0.63	0.92	9.67	1.26	"compLasso"
100	50	0.5	0.5	0.38	"0.89 ( 0 )"	"5.16 ( 0.81 )"	"0.81 ( 0.08 )"	10.35	0.36	0.89	5.16	0.81	"compLasso"
500	50	0.5	0.1	0.95	"0.87 ( 0 )"	"0.15 ( 0.1 )"	"0.15 ( 0.04 )"	6	0.01	0.87	0.15	0.15	"compLasso"
1000	50	0.5	0.05	0.96	"0.87 ( 0 )"	"0.13 ( 0.07 )"	"0.09 ( 0.03 )"	6.04	0.01	0.87	0.13	0.09	"compLasso"
50	100	0.5	2	0.09	"0.96 ( 0.01 )"	"25 ( 2.25 )"	"1.32 ( 0.09 )"	29.68	0.77	0.96	25	1.32	"compLasso"
100	100	0.5	1	0.31	"0.9 ( 0 )"	"7.65 ( 0.74 )"	"1.01 ( 0.08 )"	12.64	0.51	0.9	7.65	1.01	"compLasso"
500	100	0.5	0.2	0.93	"0.87 ( 0 )"	"0.14 ( 0.07 )"	"0.28 ( 0.05 )"	5.86	0.02	0.87	0.14	0.28	"compLasso"
1000	100	0.5	0.1	0.92	"0.87 ( 0 )"	"0.34 ( 0.17 )"	"0.12 ( 0.03 )"	6.22	0.03	0.87	0.34	0.12	"compLasso"
50	500	0.5	10	0.02	"1 ( 0 )"	"157.13 ( 6.78 )"	"1.35 ( 0.1 )"	161.78	0.97	1	157.13	1.35	"compLasso"
100	500	0.5	5	0.1	"0.95 ( 0 )"	"33.42 ( 3.83 )"	"1.3 ( 0.09 )"	38.12	0.82	0.95	33.42	1.3	"compLasso"
500	500	0.5	1	0.86	"0.87 ( 0 )"	"0.67 ( 0.16 )"	"0.3 ( 0.05 )"	6.37	0.07	0.87	0.67	0.3	"compLasso"
1000	500	0.5	0.5	0.98	"0.87 ( 0 )"	"0.03 ( 0.02 )"	"0.09 ( 0.03 )"	5.94	0	0.87	0.03	0.09	"compLasso"
50	1000	0.5	20	0.01	"1 ( 0 )"	"246.84 ( 6.66 )"	"1.53 ( 0.09 )"	251.31	0.98	1	246.84	1.53	"compLasso"
100	1000	0.5	10	0.04	"0.98 ( 0 )"	"96.92 ( 8.19 )"	"1.31 ( 0.09 )"	101.61	0.92	0.98	96.92	1.31	"compLasso"
500	1000	0.5	2	0.87	"0.87 ( 0 )"	"0.53 ( 0.2 )"	"0.35 ( 0.06 )"	6.18	0.04	0.87	0.53	0.35	"compLasso"
1000	1000	0.5	1	0.93	"0.87 ( 0 )"	"0.35 ( 0.12 )"	"0.11 ( 0.03 )"	6.24	0.03	0.87	0.35	0.11	"compLasso"
50	50	0.7	1	0.15	"0.95 ( 0 )"	"12.8 ( 0.96 )"	"1 ( 0.09 )"	17.8	0.66	0.95	12.8	1	"compLasso"
100	50	0.7	0.5	0.41	"0.91 ( 0 )"	"5.79 ( 0.7 )"	"0.31 ( 0.05 )"	11.48	0.4	0.91	5.79	0.31	"compLasso"
500	50	0.7	0.1	0.96	"0.9 ( 0 )"	"0.17 ( 0.08 )"	"0.04 ( 0.02 )"	6.13	0.02	0.9	0.17	0.04	"compLasso"
1000	50	0.7	0.05	0.98	"0.89 ( 0 )"	"0.1 ( 0.06 )"	"0 ( 0 )"	6.1	0.01	0.89	0.1	0	"compLasso"
50	100	0.7	2	0.06	"0.99 ( 0 )"	"35.59 ( 2.41 )"	"0.94 ( 0.09 )"	40.65	0.83	0.99	35.59	0.94	"compLasso"
100	100	0.7	1	0.26	"0.92 ( 0 )"	"11.64 ( 1.38 )"	"0.53 ( 0.06 )"	17.11	0.57	0.92	11.64	0.53	"compLasso"
500	100	0.7	0.2	0.97	"0.9 ( 0 )"	"0.15 ( 0.07 )"	"0.05 ( 0.02 )"	6.1	0.02	0.9	0.15	0.05	"compLasso"
1000	100	0.7	0.1	0.93	"0.9 ( 0 )"	"0.41 ( 0.14 )"	"0.03 ( 0.02 )"	6.38	0.04	0.9	0.41	0.03	"compLasso"
50	500	0.7	10	0.02	"1 ( 0 )"	"171.29 ( 6.32 )"	"1.12 ( 0.09 )"	176.17	0.97	1	171.29	1.12	"compLasso"
100	500	0.7	5	0.06	"0.98 ( 0 )"	"68.31 ( 6.57 )"	"0.98 ( 0.09 )"	73.33	0.87	0.98	68.31	0.98	"compLasso"
500	500	0.7	1	0.93	"0.89 ( 0 )"	"0.37 ( 0.12 )"	"0.06 ( 0.02 )"	6.31	0.04	0.89	0.37	0.06	"compLasso"
1000	500	0.7	0.5	0.98	"0.9 ( 0 )"	"0.13 ( 0.07 )"	"0.01 ( 0.01 )"	6.12	0.01	0.9	0.13	0.01	"compLasso"
50	1000	0.7	20	0.01	"1 ( 0 )"	"275.88 ( 8.89 )"	"1.39 ( 0.09 )"	280.49	0.98	1	275.88	1.39	"compLasso"
100	1000	0.7	10	0.03	"1 ( 0 )"	"155.38 ( 7.45 )"	"0.93 ( 0.08 )"	160.45	0.95	1	155.38	0.93	"compLasso"
500	1000	0.7	2	0.84	"0.9 ( 0 )"	"1.07 ( 0.26 )"	"0.1 ( 0.03 )"	6.97	0.09	0.9	1.07	0.1	"compLasso"
1000	1000	0.7	1	0.95	"0.9 ( 0 )"	"0.3 ( 0.11 )"	"0.02 ( 0.01 )"	6.28	0.03	0.9	0.3	0.02	"compLasso"
50	50	0.9	1	0.13	"0.97 ( 0 )"	"15.75 ( 1.04 )"	"0.71 ( 0.07 )"	21.04	0.7	0.97	15.75	0.71	"compLasso"
100	50	0.9	0.5	0.44	"0.93 ( 0 )"	"5.06 ( 0.38 )"	"0.34 ( 0.05 )"	10.72	0.42	0.93	5.06	0.34	"compLasso"
500	50	0.9	0.1	0.98	"0.91 ( 0 )"	"0.07 ( 0.04 )"	"0.03 ( 0.02 )"	6.04	0.01	0.91	0.07	0.03	"compLasso"
1000	50	0.9	0.05	1	"0.91 ( 0 )"	"0 ( 0 )"	"0 ( 0 )"	6	0	0.91	0	0	"compLasso"
50	100	0.9	2	0.06	"0.99 ( 0 )"	"37.69 ( 2.33 )"	"0.96 ( 0.09 )"	42.73	0.84	0.99	37.69	0.96	"compLasso"
100	100	0.9	1	0.26	"0.94 ( 0 )"	"11.53 ( 1.15 )"	"0.52 ( 0.06 )"	17.01	0.61	0.94	11.53	0.52	"compLasso"
500	100	0.9	0.2	0.96	"0.91 ( 0 )"	"0.18 ( 0.06 )"	"0.03 ( 0.02 )"	6.15	0.02	0.91	0.18	0.03	"compLasso"
1000	100	0.9	0.1	0.97	"0.91 ( 0 )"	"0.17 ( 0.09 )"	"0 ( 0 )"	6.17	0.02	0.91	0.17	0	"compLasso"
50	500	0.9	10	0.01	"1 ( 0 )"	"189.13 ( 6.24 )"	"0.91 ( 0.1 )"	194.22	0.97	1	189.13	0.91	"compLasso"
100	500	0.9	5	0.05	"0.99 ( 0 )"	"88.92 ( 5.92 )"	"0.68 ( 0.07 )"	94.24	0.92	0.99	88.92	0.68	"compLasso"
500	500	0.9	1	0.85	"0.91 ( 0 )"	"1.08 ( 0.33 )"	"0.01 ( 0.01 )"	7.07	0.08	0.91	1.08	0.01	"compLasso"
1000	500	0.9	0.5	0.98	"0.91 ( 0 )"	"0.14 ( 0.07 )"	"0 ( 0 )"	6.14	0.02	0.91	0.14	0	"compLasso"
50	1000	0.9	20	0.01	"1 ( 0 )"	"330.51 ( 8.59 )"	"0.97 ( 0.08 )"	335.54	0.98	1	330.51	0.97	"compLasso"
100	1000	0.9	10	0.02	"1 ( 0 )"	"217.74 ( 6.88 )"	"0.67 ( 0.07 )"	223.07	0.97	1	217.74	0.67	"compLasso"
500	1000	0.9	2	0.76	"0.91 ( 0 )"	"1.91 ( 0.48 )"	"0.02 ( 0.01 )"	7.89	0.12	0.91	1.91	0.02	"compLasso"
1000	1000	0.9	1	0.95	"0.91 ( 0 )"	"0.27 ( 0.11 )"	"0.02 ( 0.01 )"	6.25	0.03	0.91	0.27	0.02	"compLasso"
