"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
50	50	"0.9"	1	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	50	"0.9"	0.5	0.05	"1 ( 0 )"	"2.2 ( 0.13 )"	"5 ( 0.08 )"	3.19	"0.66"	1	2.2	5
500	50	"0.9"	0.1	0.53	"1 ( 0 )"	"1.28 ( 0.1 )"	"2.32 ( 0.08 )"	4.96	"0.23"	1	1.28	2.32
1000	50	"0.9"	0.05	0.67	"1 ( 0 )"	"0.93 ( 0.09 )"	"1.31 ( 0.09 )"	5.62	"0.15"	1	0.93	1.31
50	100	"0.9"	2	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	100	"0.9"	1	0.04	"1 ( 0 )"	"4.24 ( 0.16 )"	"4.83 ( 0.09 )"	5.4	"0.79"	1	4.24	4.83
500	100	"0.9"	0.2	0.36	"1 ( 0 )"	"3.54 ( 0.19 )"	"2.29 ( 0.09 )"	7.25	"0.46"	1	3.54	2.29
1000	100	"0.9"	0.1	0.53	"1 ( 0 )"	"2.53 ( 0.14 )"	"1.31 ( 0.08 )"	7.22	"0.33"	1	2.53	1.31
50	500	"0.9"	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	500	"0.9"	5	0.01	"1 ( 0 )"	"23.63 ( 0.45 )"	"5.04 ( 0.08 )"	24.59	"0.96"	1	23.63	5.04
500	500	"0.9"	1	0.07	"1 ( 0 )"	"24.29 ( 0.42 )"	"2.65 ( 0.09 )"	27.64	"0.88"	1	24.29	2.65
1000	500	"0.9"	0.5	0.13	"1 ( 0 )"	"21.42 ( 0.42 )"	"1.49 ( 0.08 )"	25.93	"0.82"	1	21.42	1.49
50	1000	"0.9"	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	"NaN"	1	1	6
100	1000	"0.9"	10	0	"1 ( 0 )"	"47.48 ( 0.72 )"	"4.95 ( 0.08 )"	48.53	"0.98"	1	47.48	4.95
500	1000	"0.9"	2	0.04	"1 ( 0 )"	"48.09 ( 0.7 )"	"2.94 ( 0.09 )"	51.15	"0.94"	1	48.09	2.94
1000	1000	"0.9"	1	0.07	"1 ( 0 )"	"45.6 ( 0.72 )"	"1.63 ( 0.08 )"	49.97	"0.91"	1	45.6	1.63
