"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"
500	100	"0.7"	0.2	0.25	"0.89 ( 0 )"	"16.01 ( 0.82 )"	"0.03 ( 0.03 )"	20.98	"0.67"	0.89	16.01	0.03
1000	100	"0.7"	0.1	0.33	"0.89 ( 0 )"	"12.77 ( 0.94 )"	"0 ( 0 )"	17.77	"0.58"	0.89	12.77	0
50	500	"0.7"	10	0.03	"0.67 ( 0.01 )"	"43.83 ( 5.17 )"	"3.75 ( 0.12 )"	45.08	"0.9"	0.67	43.83	3.75
100	500	"0.7"	5	0.1	"0.74 ( 0.01 )"	"19.1 ( 1.88 )"	"3.08 ( 0.1 )"	21.02	"0.73"	0.74	19.1	3.08
500	500	"0.7"	1	0.15	"0.87 ( 0 )"	"31.23 ( 1.88 )"	"0.17 ( 0.04 )"	36.06	"0.78"	0.87	31.23	0.17
1000	500	"0.7"	0.5	0.22	"0.89 ( 0 )"	"22.46 ( 1.45 )"	"0 ( 0 )"	27.46	"0.71"	0.89	22.46	0
50	1000	"0.7"	20	0.02	"0.64 ( 0.01 )"	"47.17 ( 5.85 )"	"4.12 ( 0.09 )"	48.05	"0.92"	0.64	47.17	4.12
100	1000	"0.7"	10	0.08	"0.75 ( 0.01 )"	"20.86 ( 2.56 )"	"3.59 ( 0.09 )"	22.27	"0.77"	0.75	20.86	3.59
500	1000	"0.7"	2	0.13	"0.87 ( 0 )"	"36.32 ( 2.18 )"	"0.23 ( 0.05 )"	41.09	"0.81"	0.87	36.32	0.23
1000	1000	"0.7"	1	0.16	"0.89 ( 0 )"	"32.22 ( 2.11 )"	"0.01 ( 0.01 )"	37.21	"0.8"	0.89	32.22	0.01
50	50	"0.9"	1	0.09	"0.71 ( 0.01 )"	"14.15 ( 1 )"	"2.3 ( 0.14 )"	16.85	"0.68"	0.71	14.15	2.3
100	50	"0.9"	0.5	0.15	"0.77 ( 0.01 )"	"11.74 ( 0.88 )"	"1.74 ( 0.13 )"	15	"0.64"	0.77	11.74	1.74
500	50	"0.9"	0.1	0.27	"0.83 ( 0 )"	"12.28 ( 0.9 )"	"0.18 ( 0.06 )"	17.1	"0.57"	0.83	12.28	0.18
1000	50	"0.9"	0.05	0.39	"0.84 ( 0 )"	"9.58 ( 0.68 )"	"0.01 ( 0.01 )"	14.57	"0.51"	0.84	9.58	0.01
50	100	"0.9"	2	0.08	"0.7 ( 0.01 )"	"15.1 ( 1.65 )"	"3.16 ( 0.13 )"	16.94	"0.7"	0.7	15.1	3.16
100	100	"0.9"	1	0.15	"0.75 ( 0.01 )"	"14.19 ( 1.38 )"	"2.23 ( 0.13 )"	16.96	"0.64"	0.75	14.19	2.23
