"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"OOB"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"	"OOB_mean"
50	1000	"0.3"	20	0	"1.2 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"2.29 ( 0.02 )"	0	"NaN"	1.2	1	6	2.29
100	1000	"0.3"	10	0.01	"0.92 ( 0.03 )"	"48.8 ( 0.82 )"	"4.79 ( 0.08 )"	"2.23 ( 0.02 )"	50.01	"0.98"	0.92	48.8	4.79	2.23
500	1000	"0.3"	2	0.05	"0.78 ( 0.01 )"	"44.58 ( 0.68 )"	"2.48 ( 0.09 )"	"2.13 ( 0.01 )"	48.1	"0.93"	0.78	44.5	2.48	2.13
1000	1000	"0.3"	1	0.08	"0.74 ( 0.01 )"	"42.87 ( 0.73 )"	"1.44 ( 0.09 )"	"2.07 ( 0 )"	47.43	"0.9"	0.74	42.8	1.44	2.07
50	50	"0.5"	1	0	"0.99 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	"1.68 ( 0.02 )"	0	"NaN"	0.99	1	6	1.68
100	50	"0.5"	0.5	0.24	"0.62 ( 0.02 )"	"1.74 ( 0.13 )"	"4.39 ( 0.08 )"	"1.5 ( 0.01 )"	3.34	"0.47"	0.62	1.74	4.39	1.5
500	50	"0.5"	0.1	0.7	"0.32 ( 0 )"	"0.98 ( 0.09 )"	"2.53 ( 0.08 )"	"1.14 ( 0 )"	4.45	"0.2"	0.32	0.98	2.53	1.14
1000	50	"0.5"	0.05	0.78	"0.26 ( 0 )"	"0.91 ( 0.07 )"	"1.71 ( 0.07 )"	"1.03 ( 0 )"	5.2	"0.16"	0.26	0.91	1.71	1.03
50	100	"0.5"	2	0	"0.91 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	"1.84 ( 0.02 )"	0	"NaN"	0.91	1	6	1.84
100	100	"0.5"	1	0.15	"0.68 ( 0.02 )"	"3.72 ( 0.19 )"	"4.42 ( 0.08 )"	"1.69 ( 0.01 )"	5.3	"0.66"	0.68	3.72	4.42	1.69
500	100	"0.5"	0.2	0.56	"0.4 ( 0 )"	"2.59 ( 0.13 )"	"2.1 ( 0.08 )"	"1.32 ( 0 )"	6.49	"0.38"	0.4	2.59	2.1	1.32
1000	100	"0.5"	0.1	0.76	"0.34 ( 0 )"	"2.09 ( 0.1 )"	"1.08 ( 0.07 )"	"1.2 ( 0 )"	7.01	"0.29"	0.34	2.09	1.08	1.2
50	500	"0.5"	10	0	"0.95 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	"2.04 ( 0.02 )"	0	"NaN"	0.95	1	6	2.04
100	500	"0.5"	5	0.03	"0.75 ( 0.02 )"	"24.36 ( 0.56 )"	"4.57 ( 0.07 )"	"1.97 ( 0.01 )"	25.79	"0.94"	0.75	24.3	4.57	1.97
500	500	"0.5"	1	0.13	"0.58 ( 0.01 )"	"20.66 ( 0.49 )"	"2.51 ( 0.07 )"	"1.79 ( 0.01 )"	24.15	"0.85"	0.58	20.6	2.51	1.79
1000	500	"0.5"	0.5	0.2	"0.55 ( 0 )"	"18.4 ( 0.44 )"	"1.77 ( 0.07 )"	"1.72 ( 0 )"	22.63	"0.81"	0.55	18.4	1.77	1.72
50	1000	"0.5"	20	0	"0.94 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	"2.04 ( 0.02 )"	0	"NaN"	0.94	1	6	2.04
100	1000	"0.5"	10	0.01	"0.72 ( 0.02 )"	"48.5 ( 0.74 )"	"4.75 ( 0.08 )"	"2.03 ( 0.02 )"	49.75	"0.97"	0.72	48.5	4.75	2.03
500	1000	"0.5"	2	0.05	"0.65 ( 0.01 )"	"46.07 ( 0.71 )"	"2.83 ( 0.09 )"	"1.93 ( 0.01 )"	49.24	"0.93"	0.65	46	2.83	1.93
1000	1000	"0.5"	1	0.09	"0.61 ( 0.01 )"	"41.21 ( 0.68 )"	"1.84 ( 0.08 )"	"1.87 ( 0 )"	45.37	"0.91"	0.61	41.2	1.84	1.87
