"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"	"method"
100	500	0.1	5	0.02	"0.95 ( 0.02 )"	"24.82 ( 0.56 )"	"4.55 ( 0.09 )"	26.27	0.94	0.95	24.8	4.55	"rf"
500	500	0.1	1	0.13	"0.84 ( 0.01 )"	"20.8 ( 0.48 )"	"1.79 ( 0.1 )"	25.01	0.83	0.84	20.8	1.79	"rf"
1000	500	0.1	0.5	0.18	"0.76 ( 0.01 )"	"18.72 ( 0.37 )"	"0.91 ( 0.07 )"	23.81	0.78	0.76	18.7	0.91	"rf"
50	1000	0.1	20	0	"1.35 ( 0.06 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.35	0	6	"rf"
100	1000	0.1	10	0.01	"1 ( 0.03 )"	"49.42 ( 0.7 )"	"4.71 ( 0.09 )"	50.71	0.97	1	49.4	4.71	"rf"
500	1000	0.1	2	0.06	"0.87 ( 0.01 )"	"46.19 ( 0.64 )"	"1.97 ( 0.09 )"	50.22	0.92	0.87	46.1	1.97	"rf"
1000	1000	0.1	1	0.09	"0.85 ( 0.01 )"	"40.92 ( 0.66 )"	"0.98 ( 0.07 )"	45.94	0.89	0.85	40.9	0.98	"rf"
50	50	0.3	1	0	"1.22 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.22	0	6	"rf"
100	50	0.3	0.5	0.23	"0.77 ( 0.02 )"	"1.72 ( 0.11 )"	"4.4 ( 0.08 )"	3.32	0.48	0.77	1.72	4.4	"rf"
500	50	0.3	0.1	0.7	"0.39 ( 0 )"	"0.54 ( 0.06 )"	"1.98 ( 0.08 )"	4.56	0.11	0.39	0.54	1.98	"rf"
1000	50	0.3	0.05	0.82	"0.31 ( 0 )"	"0.3 ( 0.05 )"	"1.19 ( 0.08 )"	5.11	0.05	0.31	0.3	1.19	"rf"
50	100	0.3	2	0	"1.15 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.15	0	6	"rf"
100	100	0.3	1	0.15	"0.81 ( 0.02 )"	"3.77 ( 0.16 )"	"4.28 ( 0.07 )"	5.49	0.67	0.81	3.77	4.28	"rf"
500	100	0.3	0.2	0.52	"0.51 ( 0.01 )"	"2.21 ( 0.14 )"	"1.94 ( 0.09 )"	6.27	0.33	0.51	2.21	1.94	"rf"
1000	100	0.3	0.1	0.75	"0.41 ( 0 )"	"1.4 ( 0.1 )"	"0.76 ( 0.07 )"	6.64	0.2	0.41	1.4	0.76	"rf"
50	500	0.3	10	0	"1.14 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.14	0	6	"rf"
100	500	0.3	5	0.02	"0.89 ( 0.03 )"	"24.48 ( 0.46 )"	"4.69 ( 0.08 )"	25.79	0.95	0.89	24.4	4.69	"rf"
500	500	0.3	1	0.12	"0.73 ( 0.01 )"	"20.86 ( 0.41 )"	"2.1 ( 0.09 )"	24.76	0.84	0.73	20.8	2.1	"rf"
1000	500	0.3	0.5	0.19	"0.68 ( 0.01 )"	"18.71 ( 0.45 )"	"1.13 ( 0.08 )"	23.58	0.79	0.68	18.7	1.13	"rf"
50	1000	0.3	20	0	"1.2 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.2	0	6	"rf"
100	1000	0.3	10	0.01	"0.92 ( 0.03 )"	"48.8 ( 0.82 )"	"4.79 ( 0.08 )"	50.01	0.98	0.92	48.8	4.79	"rf"
500	1000	0.3	2	0.05	"0.78 ( 0.01 )"	"44.58 ( 0.68 )"	"2.48 ( 0.09 )"	48.1	0.93	0.78	44.5	2.48	"rf"
1000	1000	0.3	1	0.08	"0.74 ( 0.01 )"	"42.87 ( 0.73 )"	"1.44 ( 0.09 )"	47.43	0.9	0.74	42.8	1.44	"rf"
50	50	0.5	1	0	"0.99 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.99	0	6	"rf"
100	50	0.5	0.5	0.24	"0.62 ( 0.02 )"	"1.74 ( 0.13 )"	"4.39 ( 0.08 )"	3.34	0.47	0.62	1.74	4.39	"rf"
500	50	0.5	0.1	0.7	"0.32 ( 0 )"	"0.98 ( 0.09 )"	"2.53 ( 0.08 )"	4.45	0.2	0.32	0.98	2.53	"rf"
1000	50	0.5	0.05	0.78	"0.26 ( 0 )"	"0.91 ( 0.07 )"	"1.71 ( 0.07 )"	5.2	0.16	0.26	0.91	1.71	"rf"
50	100	0.5	2	0	"0.91 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.91	0	6	"rf"
100	100	0.5	1	0.15	"0.68 ( 0.02 )"	"3.72 ( 0.19 )"	"4.42 ( 0.08 )"	5.3	0.66	0.68	3.72	4.42	"rf"
500	100	0.5	0.2	0.56	"0.4 ( 0 )"	"2.59 ( 0.13 )"	"2.1 ( 0.08 )"	6.49	0.38	0.4	2.59	2.1	"rf"
1000	100	0.5	0.1	0.76	"0.34 ( 0 )"	"2.09 ( 0.1 )"	"1.08 ( 0.07 )"	7.01	0.29	0.34	2.09	1.08	"rf"
50	500	0.5	10	0	"0.95 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.95	0	6	"rf"
100	500	0.5	5	0.03	"0.75 ( 0.02 )"	"24.36 ( 0.56 )"	"4.57 ( 0.07 )"	25.79	0.94	0.75	24.3	4.57	"rf"
500	500	0.5	1	0.13	"0.58 ( 0.01 )"	"20.66 ( 0.49 )"	"2.51 ( 0.07 )"	24.15	0.85	0.58	20.6	2.51	"rf"
1000	500	0.5	0.5	0.2	"0.55 ( 0 )"	"18.4 ( 0.44 )"	"1.77 ( 0.07 )"	22.63	0.81	0.55	18.4	1.77	"rf"
50	1000	0.5	20	0	"0.94 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.94	0	6	"rf"
100	1000	0.5	10	0.01	"0.72 ( 0.02 )"	"48.5 ( 0.74 )"	"4.75 ( 0.08 )"	49.75	0.97	0.72	48.5	4.75	"rf"
500	1000	0.5	2	0.05	"0.65 ( 0.01 )"	"46.07 ( 0.71 )"	"2.83 ( 0.09 )"	49.24	0.93	0.65	46	2.83	"rf"
1000	1000	0.5	1	0.09	"0.61 ( 0.01 )"	"41.21 ( 0.68 )"	"1.84 ( 0.08 )"	45.37	0.91	0.61	41.2	1.84	"rf"
50	50	0.7	1	0	"0.66 ( 0.03 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.66	0	6	"rf"
100	50	0.7	0.5	0.28	"0.44 ( 0.01 )"	"1.84 ( 0.14 )"	"4.44 ( 0.08 )"	3.4	0.48	0.44	1.84	4.44	"rf"
500	50	0.7	0.1	0.74	"0.23 ( 0 )"	"1.29 ( 0.07 )"	"2.76 ( 0.07 )"	4.53	0.27	0.23	1.29	2.76	"rf"
1000	50	0.7	0.05	0.85	"0.19 ( 0 )"	"1.57 ( 0.07 )"	"2.29 ( 0.06 )"	5.28	0.29	0.19	1.57	2.29	"rf"
50	100	0.7	2	0	"0.67 ( 0.03 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.67	0	6	"rf"
100	100	0.7	1	0.14	"0.47 ( 0.01 )"	"4.64 ( 0.25 )"	"4.32 ( 0.09 )"	6.32	0.7	0.47	4.64	4.32	"rf"
500	100	0.7	0.2	0.63	"0.28 ( 0 )"	"2.64 ( 0.14 )"	"2.52 ( 0.07 )"	6.12	0.41	0.28	2.64	2.52	"rf"
1000	100	0.7	0.1	0.8	"0.25 ( 0 )"	"2.42 ( 0.1 )"	"1.76 ( 0.05 )"	6.66	0.35	0.25	2.42	1.76	"rf"
50	500	0.7	10	0	"0.7 ( 0.03 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.7	0	6	"rf"
100	500	0.7	5	0.03	"0.49 ( 0.02 )"	"24.87 ( 0.57 )"	"4.59 ( 0.09 )"	26.28	0.94	0.49	24.8	4.59	"rf"
500	500	0.7	1	0.13	"0.4 ( 0 )"	"21.21 ( 0.55 )"	"2.97 ( 0.08 )"	24.24	0.87	0.4	21.2	2.97	"rf"
1000	500	0.7	0.5	0.21	"0.38 ( 0 )"	"17.4 ( 0.46 )"	"1.98 ( 0.07 )"	21.42	0.8	0.38	17.4	1.98	"rf"
50	1000	0.7	20	0	"0.74 ( 0.03 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.74	0	6	"rf"
100	1000	0.7	10	0.01	"0.5 ( 0.01 )"	"49.02 ( 0.67 )"	"4.84 ( 0.08 )"	50.18	0.98	0.5	49	4.84	"rf"
500	1000	0.7	2	0.07	"0.44 ( 0 )"	"45.41 ( 0.68 )"	"3.02 ( 0.07 )"	48.39	0.94	0.44	45.4	3.02	"rf"
1000	1000	0.7	1	0.09	"0.42 ( 0 )"	"42.15 ( 0.71 )"	"2.37 ( 0.07 )"	45.78	0.92	0.42	42.1	2.37	"rf"
50	50	0.9	1	0	"0.27 ( 0.01 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.27	0	6	"rf"
100	50	0.9	0.5	0.19	"0.19 ( 0.01 )"	"2.14 ( 0.17 )"	"4.84 ( 0.08 )"	3.28	0.58	0.19	2.14	4.84	"rf"
500	50	0.9	0.1	0.67	"0.12 ( 0 )"	"1.43 ( 0.09 )"	"3.13 ( 0.08 )"	4.3	0.32	0.12	1.43	3.13	"rf"
1000	50	0.9	0.05	0.85	"0.1 ( 0 )"	"1.5 ( 0.07 )"	"2.46 ( 0.06 )"	5.04	0.29	0.1	1.5	2.46	"rf"
50	100	0.9	2	0	"0.3 ( 0.01 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.3	0	6	"rf"
100	100	0.9	1	0.16	"0.19 ( 0.01 )"	"4.23 ( 0.22 )"	"4.48 ( 0.09 )"	5.74	0.72	0.19	4.23	4.48	"rf"
500	100	0.9	0.2	0.57	"0.14 ( 0 )"	"2.86 ( 0.16 )"	"2.89 ( 0.07 )"	5.97	0.45	0.14	2.86	2.89	"rf"
1000	100	0.9	0.1	0.8	"0.12 ( 0 )"	"2.42 ( 0.11 )"	"1.89 ( 0.05 )"	6.53	0.36	0.12	2.42	1.89	"rf"
50	500	0.9	10	0	"0.29 ( 0.01 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.29	0	6	"rf"
100	500	0.9	5	0.02	"0.21 ( 0.01 )"	"24.34 ( 0.71 )"	"4.72 ( 0.09 )"	25.62	0.95	0.21	24.3	4.72	"rf"
500	500	0.9	1	0.14	"0.17 ( 0 )"	"21.38 ( 0.6 )"	"3 ( 0.07 )"	24.38	0.87	0.17	21.3	0	"rf"
1000	500	0.9	0.5	0.2	"0.16 ( 0 )"	"18.68 ( 0.53 )"	"2.35 ( 0.06 )"	22.33	0.83	0.16	18.6	2.35	"rf"
50	1000	0.9	20	0	"0.29 ( 0.01 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.29	0	6	"rf"
100	1000	0.9	10	0.01	"0.2 ( 0.01 )"	"49.91 ( 0.83 )"	"4.99 ( 0.09 )"	50.92	0.98	0.2	49.9	4.99	"rf"
500	1000	0.9	2	0.06	"0.19 ( 0 )"	"46.34 ( 0.86 )"	"3.13 ( 0.08 )"	49.21	0.94	0.19	46.3	3.13	"rf"
1000	1000	0.9	1	0.09	"0.18 ( 0 )"	"43.52 ( 0.89 )"	"2.7 ( 0.07 )"	46.82	0.93	0.18	43.5	2.7	"rf"
50	50	0.1	1	0.56	"0.88 ( 0.05 )"	"3.68 ( 0.29 )"	"0.06 ( 0.03 )"	9.62	0.33	0.88	3.68	0.06	"compLasso"
100	50	0.1	0.5	0.77	"0.87 ( 0.05 )"	"1.51 ( 0.35 )"	"0 ( 0 )"	7.51	0.12	0.87	1.51	0	"compLasso"
500	50	0.1	0.1	0.88	"0.99 ( 0.05 )"	"0.73 ( 0.19 )"	"0 ( 0 )"	6.73	0.07	0.99	0.73	0	"compLasso"
1000	50	0.1	0.05	0.9	"1.09 ( 0.04 )"	"0.55 ( 0.17 )"	"0 ( 0 )"	6.55	0.05	1.09	0.55	0	"compLasso"
50	100	0.1	2	0.53	"1.12 ( 0.1 )"	"4.24 ( 0.3 )"	"0.23 ( 0.06 )"	10.01	0.37	1.12	4.24	0.23	"compLasso"
100	100	0.1	1	0.79	"0.85 ( 0.04 )"	"1.51 ( 0.34 )"	"0 ( 0 )"	7.51	0.13	0.85	1.51	0	"compLasso"
500	100	0.1	0.2	0.95	"1.13 ( 0.04 )"	"0.29 ( 0.09 )"	"0 ( 0 )"	6.29	0.03	1.13	0.29	0	"compLasso"
1000	100	0.1	0.1	0.93	"1.03 ( 0.04 )"	"0.42 ( 0.12 )"	"0 ( 0 )"	6.42	0.05	1.03	0.42	0	"compLasso"
50	500	0.1	10	0.36	"2.54 ( 0.18 )"	"5.13 ( 0.35 )"	"1.78 ( 0.12 )"	9.35	0.48	2.54	5.13	1.78	"compLasso"
100	500	0.1	5	0.71	"0.98 ( 0.04 )"	"2.4 ( 0.35 )"	"0 ( 0 )"	8.4	0.21	0.98	2.4	0	"compLasso"
500	500	0.1	1	0.96	"1.1 ( 0.04 )"	"0.25 ( 0.08 )"	"0 ( 0 )"	6.25	0.03	1.1	0.25	0	"compLasso"
1000	500	0.1	0.5	0.96	"1.18 ( 0.04 )"	"0.24 ( 0.08 )"	"0 ( 0 )"	6.24	0.03	1.18	0.24	0	"compLasso"
50	1000	0.1	20	0.29	"3.37 ( 0.2 )"	"4.59 ( 0.36 )"	"2.63 ( 0.15 )"	7.96	0.5	3.37	4.59	2.63	"compLasso"
100	1000	0.1	10	0.61	"1.03 ( 0.04 )"	"3.82 ( 0.46 )"	"0.01 ( 0.01 )"	9.81	0.29	1.03	3.82	0.01	"compLasso"
500	1000	0.1	2	0.96	"1.1 ( 0.03 )"	"0.24 ( 0.1 )"	"0 ( 0 )"	6.24	0.03	1.1	0.24	0	"compLasso"
1000	1000	0.1	1	0.97	"1.16 ( 0.03 )"	"0.16 ( 0.06 )"	"0 ( 0 )"	6.16	0.02	1.16	0.16	0	"compLasso"
50	50	0.3	1	0.5	"0.76 ( 0.05 )"	"4.6 ( 0.27 )"	"0.07 ( 0.03 )"	10.53	0.4	0.76	4.6	0.07	"compLasso"
100	50	0.3	0.5	0.75	"0.7 ( 0.04 )"	"1.65 ( 0.28 )"	"0 ( 0 )"	7.65	0.16	0.7	1.65	0	"compLasso"
500	50	0.3	0.1	0.93	"0.92 ( 0.04 )"	"0.39 ( 0.12 )"	"0 ( 0 )"	6.39	0.04	0.92	0.39	0	"compLasso"
1000	50	0.3	0.05	0.93	"0.92 ( 0.03 )"	"0.38 ( 0.1 )"	"0 ( 0 )"	6.38	0.04	0.92	0.38	0	"compLasso"
50	100	0.3	2	0.43	"1.12 ( 0.07 )"	"5.19 ( 0.3 )"	"0.63 ( 0.09 )"	10.56	0.44	1.12	5.19	0.63	"compLasso"
100	100	0.3	1	0.7	"0.73 ( 0.04 )"	"2.38 ( 0.32 )"	"0 ( 0 )"	8.38	0.22	0.73	2.38	0	"compLasso"
500	100	0.3	0.2	0.87	"0.82 ( 0.04 )"	"0.84 ( 0.2 )"	"0 ( 0 )"	6.84	0.08	0.82	0.84	0	"compLasso"
1000	100	0.3	0.1	0.93	"0.87 ( 0.04 )"	"0.41 ( 0.08 )"	"0 ( 0 )"	6.41	0.05	0.87	0.41	0	"compLasso"
50	500	0.3	10	0.29	"2.5 ( 0.14 )"	"5.62 ( 0.34 )"	"2.39 ( 0.12 )"	9.23	0.55	2.5	5.62	2.39	"compLasso"
100	500	0.3	5	0.52	"0.84 ( 0.04 )"	"5.23 ( 0.57 )"	"0.06 ( 0.02 )"	11.17	0.37	0.84	5.23	0.06	"compLasso"
500	500	0.3	1	0.96	"0.93 ( 0.03 )"	"0.25 ( 0.08 )"	"0 ( 0 )"	6.25	0.03	0.93	0.25	0	"compLasso"
1000	500	0.3	0.5	0.94	"0.9 ( 0.03 )"	"0.38 ( 0.1 )"	"0 ( 0 )"	6.38	0.04	0.9	0.38	0	"compLasso"
50	1000	0.3	20	0.28	"2.99 ( 0.17 )"	"4.75 ( 0.36 )"	"3 ( 0.13 )"	7.75	0.53	2.99	4.75	0	"compLasso"
100	1000	0.3	10	0.46	"0.93 ( 0.04 )"	"6.63 ( 0.6 )"	"0.1 ( 0.03 )"	12.53	0.43	0.93	6.63	0.1	"compLasso"
500	1000	0.3	2	0.96	"0.89 ( 0.03 )"	"0.28 ( 0.09 )"	"0 ( 0 )"	6.28	0.03	0.89	0.28	0	"compLasso"
1000	1000	0.3	1	0.95	"0.93 ( 0.03 )"	"0.29 ( 0.09 )"	"0 ( 0 )"	6.29	0.03	0.93	0.29	0	"compLasso"
50	50	0.5	1	0.44	"0.72 ( 0.05 )"	"5.25 ( 0.31 )"	"0.24 ( 0.06 )"	11.01	0.43	0.72	5.25	0.24	"compLasso"
100	50	0.5	0.5	0.62	"0.55 ( 0.02 )"	"2.98 ( 0.3 )"	"0 ( 0 )"	8.98	0.27	0.55	2.98	0	"compLasso"
500	50	0.5	0.1	0.9	"0.62 ( 0.02 )"	"0.57 ( 0.13 )"	"0 ( 0 )"	6.57	0.06	0.62	0.57	0	"compLasso"
1000	50	0.5	0.05	0.93	"0.67 ( 0.02 )"	"0.39 ( 0.12 )"	"0 ( 0 )"	6.39	0.04	0.67	0.39	0	"compLasso"
50	100	0.5	2	0.37	"1.15 ( 0.07 )"	"5.35 ( 0.36 )"	"1.25 ( 0.11 )"	10.1	0.45	1.15	5.35	1.25	"compLasso"
100	100	0.5	1	0.59	"0.68 ( 0.03 )"	"3.57 ( 0.36 )"	"0.06 ( 0.02 )"	9.51	0.31	0.68	3.57	0.06	"compLasso"
500	100	0.5	0.2	0.94	"0.68 ( 0.02 )"	"0.34 ( 0.1 )"	"0 ( 0 )"	6.34	0.04	0.68	0.34	0	"compLasso"
1000	100	0.5	0.1	0.95	"0.71 ( 0.02 )"	"0.27 ( 0.09 )"	"0 ( 0 )"	6.27	0.03	0.71	0.27	0	"compLasso"
50	500	0.5	10	0.29	"2.28 ( 0.14 )"	"5.5 ( 0.38 )"	"2.81 ( 0.1 )"	8.69	0.55	2.28	5.5	2.81	"compLasso"
100	500	0.5	5	0.38	"0.82 ( 0.04 )"	"8.32 ( 0.64 )"	"0.38 ( 0.07 )"	13.94	0.51	0.82	8.32	0.38	"compLasso"
500	500	0.5	1	0.93	"0.67 ( 0.02 )"	"0.45 ( 0.12 )"	"0 ( 0 )"	6.45	0.05	0.67	0.45	0	"compLasso"
1000	500	0.5	0.5	0.94	"0.69 ( 0.02 )"	"0.35 ( 0.1 )"	"0 ( 0 )"	6.35	0.04	0.69	0.35	0	"compLasso"
50	1000	0.5	20	0.23	"2.44 ( 0.13 )"	"5.82 ( 0.36 )"	"3.37 ( 0.1 )"	8.45	0.63	2.44	5.82	3.37	"compLasso"
100	1000	0.5	10	0.3	"0.96 ( 0.05 )"	"10.94 ( 0.72 )"	"0.61 ( 0.1 )"	16.33	0.59	0.96	10.9	0.61	"compLasso"
500	1000	0.5	2	0.96	"0.7 ( 0.02 )"	"0.22 ( 0.06 )"	"0 ( 0 )"	6.22	0.03	0.7	0.22	0	"compLasso"
1000	1000	0.5	1	0.95	"0.71 ( 0.02 )"	"0.33 ( 0.13 )"	"0 ( 0 )"	6.33	0.03	0.71	0.33	0	"compLasso"
50	50	0.7	1	0.36	"0.76 ( 0.05 )"	"5.83 ( 0.31 )"	"0.81 ( 0.1 )"	11.02	0.48	0.76	5.83	0.81	"compLasso"
100	50	0.7	0.5	0.48	"0.43 ( 0.02 )"	"4.89 ( 0.38 )"	"0.08 ( 0.03 )"	10.81	0.4	0.43	4.89	0.08	"compLasso"
500	50	0.7	0.1	0.81	"0.44 ( 0.01 )"	"1.23 ( 0.22 )"	"0 ( 0 )"	7.23	0.12	0.44	1.23	0	"compLasso"
1000	50	0.7	0.05	0.88	"0.45 ( 0.01 )"	"0.74 ( 0.13 )"	"0 ( 0 )"	6.74	0.09	0.45	0.74	0	"compLasso"
50	100	0.7	2	0.31	"0.99 ( 0.06 )"	"5.89 ( 0.36 )"	"1.88 ( 0.11 )"	10.01	0.53	0.99	5.89	1.88	"compLasso"
100	100	0.7	1	0.41	"0.48 ( 0.02 )"	"6.91 ( 0.55 )"	"0.22 ( 0.05 )"	12.69	0.47	0.48	6.91	0.22	"compLasso"
500	100	0.7	0.2	0.82	"0.45 ( 0.01 )"	"1.24 ( 0.19 )"	"0 ( 0 )"	7.24	0.13	0.45	1.24	0	"compLasso"
1000	100	0.7	0.1	0.92	"0.48 ( 0.01 )"	"0.5 ( 0.14 )"	"0 ( 0 )"	6.5	0.05	0.48	0.5	0	"compLasso"
50	500	0.7	10	0.27	"1.81 ( 0.09 )"	"5.27 ( 0.39 )"	"3.43 ( 0.09 )"	7.84	0.56	1.81	5.27	3.43	"compLasso"
100	500	0.7	5	0.27	"0.85 ( 0.05 )"	"9.56 ( 0.73 )"	"1.42 ( 0.12 )"	14.14	0.59	0.85	9.56	1.42	"compLasso"
500	500	0.7	1	0.74	"0.46 ( 0.01 )"	"2.11 ( 0.26 )"	"0 ( 0 )"	8.11	0.2	0.46	2.11	0	"compLasso"
1000	500	0.7	0.5	0.87	"0.46 ( 0.01 )"	"0.93 ( 0.16 )"	"0 ( 0 )"	6.93	0.1	0.46	0.93	0	"compLasso"
50	1000	0.7	20	0.21	"1.81 ( 0.08 )"	"6.05 ( 0.39 )"	"3.58 ( 0.1 )"	8.47	0.64	1.81	6.05	3.58	"compLasso"
100	1000	0.7	10	0.27	"1.1 ( 0.06 )"	"8.36 ( 0.68 )"	"2.1 ( 0.09 )"	12.26	0.58	1.1	8.36	2.1	"compLasso"
500	1000	0.7	2	0.69	"0.47 ( 0.01 )"	"2.72 ( 0.33 )"	"0 ( 0 )"	8.72	0.24	0.47	2.72	0	"compLasso"
1000	1000	0.7	1	0.91	"0.5 ( 0.01 )"	"0.57 ( 0.16 )"	"0 ( 0 )"	6.57	0.06	0.5	0.57	0	"compLasso"
50	50	0.9	1	0.32	"0.54 ( 0.03 )"	"4.91 ( 0.32 )"	"1.96 ( 0.11 )"	8.95	0.49	0.54	4.91	1.96	"compLasso"
100	50	0.9	0.5	0.35	"0.41 ( 0.02 )"	"5.64 ( 0.41 )"	"0.96 ( 0.11 )"	10.68	0.46	0.41	5.64	0.96	"compLasso"
500	50	0.9	0.1	0.67	"0.31 ( 0.01 )"	"2.66 ( 0.22 )"	"0.01 ( 0.01 )"	8.65	0.27	0.31	2.66	0.01	"compLasso"
1000	50	0.9	0.05	0.71	"0.3 ( 0 )"	"2.18 ( 0.19 )"	"0 ( 0 )"	8.18	0.23	0.3	2.18	0	"compLasso"
50	100	0.9	2	0.31	"0.66 ( 0.04 )"	"4.9 ( 0.33 )"	"2.83 ( 0.09 )"	8.07	0.54	0.66	4.9	2.83	"compLasso"
100	100	0.9	1	0.32	"0.47 ( 0.02 )"	"6.56 ( 0.48 )"	"1.45 ( 0.11 )"	11.11	0.52	0.47	6.56	1.45	"compLasso"
500	100	0.9	0.2	0.59	"0.32 ( 0.01 )"	"4.04 ( 0.34 )"	"0.01 ( 0.01 )"	10.03	0.35	0.32	4.04	0.01	"compLasso"
1000	100	0.9	0.1	0.67	"0.3 ( 0 )"	"2.85 ( 0.24 )"	"0 ( 0 )"	8.85	0.28	0.3	2.85	0	"compLasso"
50	500	0.9	10	0.23	"0.89 ( 0.05 )"	"5.88 ( 0.44 )"	"3.74 ( 0.07 )"	8.14	0.62	0.89	5.88	3.74	"compLasso"
100	500	0.9	5	0.24	"0.6 ( 0.02 )"	"8.59 ( 0.65 )"	"2.63 ( 0.08 )"	11.96	0.64	0.6	8.59	2.63	"compLasso"
500	500	0.9	1	0.41	"0.34 ( 0.01 )"	"8.17 ( 0.48 )"	"0.17 ( 0.04 )"	14	0.54	0.34	8.17	0.17	"compLasso"
1000	500	0.9	0.5	0.58	"0.32 ( 0 )"	"4.24 ( 0.3 )"	"0.01 ( 0.01 )"	10.23	0.37	0.32	4.24	0.01	"compLasso"
50	1000	0.9	20	0.19	"1.04 ( 0.06 )"	"5.24 ( 0.46 )"	"4.23 ( 0.08 )"	7.01	0.6	1.04	5.24	4.23	"compLasso"
100	1000	0.9	10	0.22	"0.67 ( 0.02 )"	"9.03 ( 0.73 )"	"3.02 ( 0.07 )"	12.01	0.66	0.67	9.03	3.02	"compLasso"
500	1000	0.9	2	0.34	"0.35 ( 0.01 )"	"10.52 ( 0.68 )"	"0.32 ( 0.05 )"	16.2	0.59	0.35	10.5	0.32	"compLasso"
1000	1000	0.9	1	0.57	"0.33 ( 0 )"	"4.48 ( 0.3 )"	"0.01 ( 0.01 )"	10.47	0.39	0.33	4.48	0.01	"compLasso"
