"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"	"method"
100	500	0.1	5	0	"0.07 ( 0 )"	"23.53 ( 0.53 )"	"5.27 ( 0.11 )"	24.26	0.97	0.07	23.5	5.27	"rf"
500	500	0.1	1	0.07	"0.06 ( 0 )"	"23.98 ( 0.51 )"	"3.3 ( 0.16 )"	26.68	0.9	0.06	23.9	3.3	"rf"
1000	500	0.1	0.5	0.17	"0.05 ( 0 )"	"23.6 ( 0.51 )"	"1.93 ( 0.15 )"	27.67	0.85	0.05	23.6	1.93	"rf"
50	1000	0.1	20	0	"0.08 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.08	0	6	"rf"
100	1000	0.1	10	0	"0.06 ( 0 )"	"48.27 ( 0.79 )"	"5.46 ( 0.08 )"	48.81	0.99	0.06	48.2	5.46	"rf"
500	1000	0.1	2	0.02	"0.06 ( 0 )"	"48.48 ( 0.7 )"	"3.65 ( 0.16 )"	50.83	0.95	0.06	48.4	3.65	"rf"
1000	1000	0.1	1	0.07	"0.05 ( 0 )"	"47.72 ( 0.68 )"	"2.25 ( 0.14 )"	51.47	0.93	0.05	47.7	2.25	"rf"
50	50	0.3	1	0	"0.31 ( 0.01 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.31	0	6	"rf"
100	50	0.3	0.5	0.05	"0.25 ( 0.01 )"	"1.97 ( 0.13 )"	"4.84 ( 0.08 )"	3.11	0.59	0.25	1.97	4.84	"rf"
500	50	0.3	0.1	0.65	"0.16 ( 0 )"	"0.74 ( 0.08 )"	"1.78 ( 0.08 )"	4.96	0.14	0.16	0.74	1.78	"rf"
1000	50	0.3	0.05	0.84	"0.13 ( 0 )"	"0.3 ( 0.05 )"	"0.69 ( 0.07 )"	5.61	0.05	0.13	0.3	0.69	"rf"
50	100	0.3	2	0	"0.32 ( 0.01 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.32	0	6	"rf"
100	100	0.3	1	0.05	"0.25 ( 0.01 )"	"4.14 ( 0.18 )"	"4.63 ( 0.1 )"	5.51	0.74	0.25	4.14	4.63	"rf"
500	100	0.3	0.2	0.47	"0.19 ( 0 )"	"2.7 ( 0.14 )"	"1.77 ( 0.09 )"	6.93	0.37	0.19	2.7	1.77	"rf"
1000	100	0.3	0.1	0.66	"0.16 ( 0 )"	"1.78 ( 0.13 )"	"0.64 ( 0.07 )"	7.14	0.23	0.16	1.78	0.64	"rf"
50	500	0.3	10	0	"0.36 ( 0.02 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.36	0	6	"rf"
100	500	0.3	5	0.01	"0.25 ( 0.01 )"	"25.01 ( 0.53 )"	"4.87 ( 0.09 )"	26.14	0.96	0.25	25	4.87	"rf"
500	500	0.3	1	0.09	"0.23 ( 0 )"	"22.67 ( 0.44 )"	"2.42 ( 0.09 )"	26.25	0.86	0.23	22.6	2.42	"rf"
1000	500	0.3	0.5	0.16	"0.22 ( 0 )"	"19.38 ( 0.47 )"	"1.14 ( 0.07 )"	24.24	0.79	0.22	19.3	1.14	"rf"
50	1000	0.3	20	0	"0.34 ( 0.01 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.34	0	6	"rf"
100	1000	0.3	10	0	"0.26 ( 0.01 )"	"48.76 ( 0.63 )"	"5.22 ( 0.09 )"	49.54	0.98	0.26	48.7	5.22	"rf"
500	1000	0.3	2	0.04	"0.23 ( 0 )"	"46.28 ( 0.69 )"	"2.72 ( 0.1 )"	49.56	0.93	0.23	46.2	2.72	"rf"
1000	1000	0.3	1	0.07	"0.23 ( 0 )"	"44.67 ( 0.68 )"	"1.33 ( 0.08 )"	49.34	0.9	0.23	44.6	1.33	"rf"
50	50	0.5	1	0	"0.6 ( 0.03 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.6	0	6	"rf"
100	50	0.5	0.5	0.09	"0.42 ( 0.01 )"	"1.75 ( 0.14 )"	"4.6 ( 0.09 )"	3.15	0.5	0.42	1.75	4.6	"rf"
500	50	0.5	0.1	0.71	"0.26 ( 0 )"	"0.56 ( 0.07 )"	"1.57 ( 0.08 )"	4.99	0.1	0.26	0.56	1.57	"rf"
1000	50	0.5	0.05	0.85	"0.2 ( 0 )"	"0.24 ( 0.05 )"	"0.73 ( 0.07 )"	5.51	0.04	0.2	0.24	0.73	"rf"
50	100	0.5	2	0	"0.6 ( 0.02 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.6	0	6	"rf"
100	100	0.5	1	0.06	"0.47 ( 0.02 )"	"4.15 ( 0.17 )"	"4.61 ( 0.09 )"	5.54	0.74	0.47	4.15	4.61	"rf"
500	100	0.5	0.2	0.52	"0.32 ( 0 )"	"2.32 ( 0.14 )"	"1.5 ( 0.09 )"	6.82	0.32	0.32	2.32	1.5	"rf"
1000	100	0.5	0.1	0.73	"0.26 ( 0 )"	"1.21 ( 0.1 )"	"0.6 ( 0.07 )"	6.61	0.17	0.26	1.21	0.6	"rf"
50	500	0.5	10	0	"0.58 ( 0.02 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.58	0	6	"rf"
100	500	0.5	5	0.01	"0.46 ( 0.01 )"	"24.25 ( 0.46 )"	"4.96 ( 0.09 )"	25.29	0.96	0.46	24.2	4.96	"rf"
500	500	0.5	1	0.11	"0.41 ( 0 )"	"21.23 ( 0.42 )"	"2.01 ( 0.1 )"	25.22	0.84	0.41	21.2	2.01	"rf"
1000	500	0.5	0.5	0.17	"0.37 ( 0 )"	"18.91 ( 0.41 )"	"0.96 ( 0.07 )"	23.95	0.78	0.37	18.9	0.96	"rf"
50	1000	0.5	20	0	"0.57 ( 0.02 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.57	0	6	"rf"
100	1000	0.5	10	0	"0.47 ( 0.01 )"	"49.88 ( 0.68 )"	"5.13 ( 0.08 )"	50.75	0.98	0.47	49.8	5.13	"rf"
500	1000	0.5	2	0.05	"0.42 ( 0 )"	"45.98 ( 0.68 )"	"2.22 ( 0.09 )"	49.76	0.92	0.42	45.9	2.22	"rf"
1000	1000	0.5	1	0.08	"0.4 ( 0 )"	"44.42 ( 0.63 )"	"1.13 ( 0.07 )"	49.29	0.9	0.4	44.4	1.13	"rf"
50	50	0.7	1	0	"0.8 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.8	0	6	"rf"
100	50	0.7	0.5	0.11	"0.59 ( 0.02 )"	"1.85 ( 0.14 )"	"4.52 ( 0.08 )"	3.32	0.51	0.59	1.85	4.52	"rf"
500	50	0.7	0.1	0.71	"0.35 ( 0 )"	"0.51 ( 0.07 )"	"1.72 ( 0.09 )"	4.79	0.1	0.35	0.51	1.72	"rf"
1000	50	0.7	0.05	0.87	"0.27 ( 0 )"	"0.18 ( 0.05 )"	"0.72 ( 0.07 )"	5.46	0.03	0.27	0.18	0.72	"rf"
50	100	0.7	2	0	"0.92 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.92	0	6	"rf"
100	100	0.7	1	0.05	"0.63 ( 0.02 )"	"4.69 ( 0.18 )"	"4.65 ( 0.09 )"	6.04	0.77	0.63	4.69	4.65	"rf"
500	100	0.7	0.2	0.53	"0.43 ( 0 )"	"2.27 ( 0.15 )"	"1.46 ( 0.09 )"	6.81	0.31	0.43	2.27	1.46	"rf"
1000	100	0.7	0.1	0.71	"0.35 ( 0 )"	"1.47 ( 0.13 )"	"0.63 ( 0.06 )"	6.84	0.19	0.35	1.47	0.63	"rf"
50	500	0.7	10	0	"0.91 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.91	0	6	"rf"
100	500	0.7	5	0.01	"0.69 ( 0.02 )"	"24.52 ( 0.45 )"	"4.6 ( 0.09 )"	25.92	0.95	0.69	24.5	4.6	"rf"
500	500	0.7	1	0.12	"0.57 ( 0.01 )"	"20.96 ( 0.41 )"	"1.86 ( 0.09 )"	25.1	0.83	0.57	20.9	1.86	"rf"
1000	500	0.7	0.5	0.17	"0.52 ( 0 )"	"18.88 ( 0.46 )"	"1.01 ( 0.08 )"	23.87	0.78	0.52	18.8	1.01	"rf"
50	1000	0.7	20	0	"0.91 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	0.91	0	6	"rf"
100	1000	0.7	10	0.01	"0.66 ( 0.02 )"	"49.65 ( 0.71 )"	"4.89 ( 0.09 )"	50.76	0.98	0.66	49.6	4.89	"rf"
500	1000	0.7	2	0.05	"0.6 ( 0.01 )"	"47.23 ( 0.73 )"	"2.18 ( 0.1 )"	51.05	0.92	0.6	47.2	2.18	"rf"
1000	1000	0.7	1	0.08	"0.57 ( 0 )"	"43.91 ( 0.67 )"	"1.1 ( 0.08 )"	48.81	0.9	0.57	43.9	1.1	"rf"
50	50	0.9	1	0	"1.1 ( 0.04 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.1	0	6	"rf"
100	50	0.9	0.5	0.16	"0.78 ( 0.02 )"	"1.56 ( 0.11 )"	"4.38 ( 0.09 )"	3.16	0.46	0.78	1.56	4.38	"rf"
500	50	0.9	0.1	0.74	"0.44 ( 0 )"	"0.45 ( 0.06 )"	"1.49 ( 0.08 )"	4.96	0.08	0.44	0.45	1.49	"rf"
1000	50	0.9	0.05	0.86	"0.34 ( 0 )"	"0.14 ( 0.04 )"	"0.86 ( 0.08 )"	5.28	0.02	0.34	0.14	0.86	"rf"
50	100	0.9	2	0	"1.11 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.11	0	6	"rf"
100	100	0.9	1	0.09	"0.84 ( 0.02 )"	"3.94 ( 0.18 )"	"4.32 ( 0.09 )"	5.62	0.68	0.84	3.94	4.32	"rf"
500	100	0.9	0.2	0.55	"0.54 ( 0.01 )"	"2.11 ( 0.15 )"	"1.47 ( 0.08 )"	6.64	0.29	0.54	2.11	1.47	"rf"
1000	100	0.9	0.1	0.76	"0.44 ( 0 )"	"1.05 ( 0.11 )"	"0.55 ( 0.06 )"	6.5	0.14	0.44	1.05	0.55	"rf"
50	500	0.9	10	0	"1.18 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.18	0	6	"rf"
100	500	0.9	5	0.01	"0.86 ( 0.02 )"	"24.13 ( 0.47 )"	"4.7 ( 0.09 )"	25.43	0.95	0.86	24.1	4.7	"rf"
500	500	0.9	1	0.12	"0.73 ( 0.01 )"	"20.83 ( 0.45 )"	"2.04 ( 0.09 )"	24.79	0.84	0.73	20.8	2.04	"rf"
1000	500	0.9	0.5	0.18	"0.68 ( 0.01 )"	"18.47 ( 0.43 )"	"1 ( 0.07 )"	23.47	0.78	0.68	18.4	0	"rf"
50	1000	0.9	20	0	"1.22 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.22	0	6	"rf"
100	1000	0.9	10	0.01	"0.93 ( 0.02 )"	"49.18 ( 0.69 )"	"4.67 ( 0.09 )"	50.51	0.97	0.93	49.1	4.67	"rf"
500	1000	0.9	2	0.06	"0.78 ( 0.01 )"	"46.01 ( 0.7 )"	"2.14 ( 0.09 )"	49.87	0.92	0.78	46	2.14	"rf"
1000	1000	0.9	1	0.08	"0.74 ( 0.01 )"	"43.05 ( 0.72 )"	"1.17 ( 0.08 )"	47.88	0.9	0.74	43	1.17	"rf"
50	50	0.1	1	0.03	"0.36 ( 0.01 )"	"2.8 ( 0.36 )"	"5.01 ( 0.09 )"	3.79	0.62	0.36	2.8	5.01	"compLasso"
100	50	0.1	0.5	0.1	"0.32 ( 0.01 )"	"4.96 ( 0.55 )"	"3.77 ( 0.14 )"	7.19	0.55	0.32	4.96	3.77	"compLasso"
500	50	0.1	0.1	0.26	"0.28 ( 0 )"	"8.81 ( 0.4 )"	"0.78 ( 0.08 )"	14.03	0.6	0.28	8.81	0.78	"compLasso"
1000	50	0.1	0.05	0.31	"0.27 ( 0 )"	"8.37 ( 0.37 )"	"0.24 ( 0.06 )"	14.13	0.56	0.27	8.37	0.24	"compLasso"
50	100	0.1	2	0.04	"0.37 ( 0.02 )"	"2.54 ( 0.37 )"	"5.22 ( 0.08 )"	3.32	0.63	0.37	2.54	5.22	"compLasso"
100	100	0.1	1	0.07	"0.35 ( 0.01 )"	"3.99 ( 0.57 )"	"4.63 ( 0.1 )"	5.36	0.56	0.35	3.99	4.63	"compLasso"
500	100	0.1	0.2	0.18	"0.29 ( 0 )"	"13.62 ( 0.62 )"	"1.22 ( 0.11 )"	18.4	0.69	0.29	13.6	1.22	"compLasso"
1000	100	0.1	0.1	0.23	"0.28 ( 0 )"	"13.35 ( 0.59 )"	"0.47 ( 0.07 )"	18.88	0.67	0.28	13.3	0.47	"compLasso"
50	500	0.1	10	0.01	"0.36 ( 0.02 )"	"3.53 ( 0.44 )"	"5.62 ( 0.07 )"	3.91	0.85	0.36	3.53	5.62	"compLasso"
100	500	0.1	5	0.05	"0.36 ( 0.01 )"	"2.58 ( 0.45 )"	"5.29 ( 0.08 )"	3.29	0.64	0.36	2.58	5.29	"compLasso"
500	500	0.1	1	0.36	"0.32 ( 0.01 )"	"2.42 ( 0.56 )"	"3.74 ( 0.08 )"	4.68	0.29	0.32	2.42	3.74	"compLasso"
1000	500	0.1	0.5	0.14	"0.3 ( 0 )"	"19.4 ( 1.74 )"	"2.05 ( 0.12 )"	23.35	0.66	0.3	19.4	2.05	"compLasso"
50	1000	0.1	20	0	"0.37 ( 0.02 )"	"4.53 ( 0.54 )"	"5.71 ( 0.06 )"	4.82	0.91	0.37	4.53	5.71	"compLasso"
100	1000	0.1	10	0.02	"0.36 ( 0.01 )"	"4.14 ( 0.72 )"	"5.4 ( 0.08 )"	4.74	0.78	0.36	4.14	5.4	"compLasso"
500	1000	0.1	2	0.52	"0.34 ( 0 )"	"0.93 ( 0.19 )"	"3.83 ( 0.06 )"	3.1	0.21	0.34	0.93	3.83	"compLasso"
1000	1000	0.1	1	0.21	"0.31 ( 0 )"	"8.59 ( 1.37 )"	"2.96 ( 0.1 )"	11.63	0.36	0.31	8.59	2.96	"compLasso"
50	50	0.3	1	0.32	"0.8 ( 0.05 )"	"5.34 ( 0.32 )"	"1.21 ( 0.12 )"	10.13	0.48	0.8	5.34	1.21	"compLasso"
100	50	0.3	0.5	0.5	"0.52 ( 0.02 )"	"4.42 ( 0.52 )"	"0.1 ( 0.03 )"	10.32	0.33	0.52	4.42	0.1	"compLasso"
500	50	0.3	0.1	0.91	"0.55 ( 0.02 )"	"0.53 ( 0.16 )"	"0 ( 0 )"	6.53	0.05	0.55	0.53	0	"compLasso"
1000	50	0.3	0.05	0.89	"0.56 ( 0.02 )"	"0.66 ( 0.18 )"	"0 ( 0 )"	6.66	0.06	0.56	0.66	0	"compLasso"
50	100	0.3	2	0.27	"0.94 ( 0.05 )"	"6 ( 0.34 )"	"1.93 ( 0.14 )"	10.07	0.54	0.94	6	1.93	"compLasso"
100	100	0.3	1	0.47	"0.53 ( 0.02 )"	"5.24 ( 0.45 )"	"0.24 ( 0.06 )"	11	0.4	0.53	5.24	0.24	"compLasso"
500	100	0.3	0.2	0.91	"0.54 ( 0.02 )"	"0.54 ( 0.15 )"	"0 ( 0 )"	6.54	0.06	0.54	0.54	0	"compLasso"
1000	100	0.3	0.1	0.92	"0.55 ( 0.02 )"	"0.51 ( 0.15 )"	"0 ( 0 )"	6.51	0.05	0.55	0.51	0	"compLasso"
50	500	0.3	10	0.13	"1.31 ( 0.06 )"	"5.44 ( 0.44 )"	"3.96 ( 0.15 )"	7.48	0.69	1.31	5.44	3.96	"compLasso"
100	500	0.3	5	0.3	"0.73 ( 0.03 )"	"9 ( 0.76 )"	"0.99 ( 0.12 )"	14.01	0.52	0.73	6	0.99	"compLasso"
500	500	0.3	1	0.95	"0.55 ( 0.01 )"	"0.31 ( 0.08 )"	"0 ( 0 )"	6.31	0.04	0.55	0.31	0	"compLasso"
1000	500	0.3	0.5	0.92	"0.57 ( 0.02 )"	"0.49 ( 0.14 )"	"0 ( 0 )"	6.49	0.05	0.57	0.49	0	"compLasso"
50	1000	0.3	20	0.07	"1.55 ( 0.08 )"	"3.96 ( 0.47 )"	"4.74 ( 0.14 )"	5.22	0.68	1.55	3.96	4.74	"compLasso"
100	1000	0.3	10	0.25	"0.84 ( 0.03 )"	"9.51 ( 0.77 )"	"1.58 ( 0.11 )"	13.93	0.58	0.84	9.51	1.58	"compLasso"
500	1000	0.3	2	0.92	"0.56 ( 0.01 )"	"0.52 ( 0.14 )"	"0 ( 0 )"	6.52	0.05	0.56	0.52	0	"compLasso"
1000	1000	0.3	1	0.95	"0.56 ( 0.02 )"	"0.29 ( 0.08 )"	"0 ( 0 )"	6.29	0.03	0.56	0.29	0	"compLasso"
50	50	0.5	1	0.42	"0.77 ( 0.04 )"	"5.49 ( 0.31 )"	"0.25 ( 0.06 )"	11.24	0.44	0.77	5.49	0.25	"compLasso"
100	50	0.5	0.5	0.68	"0.6 ( 0.03 )"	"2.34 ( 0.31 )"	"0.01 ( 0.01 )"	8.33	0.21	0.6	2.34	0.01	"compLasso"
500	50	0.5	0.1	0.93	"0.8 ( 0.03 )"	"0.42 ( 0.12 )"	"0 ( 0 )"	6.42	0.05	0.8	0.42	0	"compLasso"
1000	50	0.5	0.05	0.88	"0.78 ( 0.03 )"	"0.7 ( 0.21 )"	"0 ( 0 )"	6.7	0.07	0.78	0.7	0	"compLasso"
50	100	0.5	2	0.36	"1.03 ( 0.07 )"	"5.95 ( 0.33 )"	"0.96 ( 0.11 )"	10.99	0.49	1.03	5.95	0.96	"compLasso"
100	100	0.5	1	0.65	"0.64 ( 0.03 )"	"2.9 ( 0.32 )"	"0.03 ( 0.02 )"	8.87	0.27	0.64	2.9	0.03	"compLasso"
500	100	0.5	0.2	0.91	"0.76 ( 0.03 )"	"0.56 ( 0.19 )"	"0 ( 0 )"	6.56	0.05	0.76	0.56	0	"compLasso"
1000	100	0.5	0.1	0.93	"0.8 ( 0.03 )"	"0.4 ( 0.09 )"	"0 ( 0 )"	6.4	0.05	0.8	0.4	0	"compLasso"
50	500	0.5	10	0.22	"1.93 ( 0.1 )"	"5.08 ( 0.41 )"	"3.23 ( 0.15 )"	7.85	0.55	1.93	5.08	3.23	"compLasso"
100	500	0.5	5	0.45	"0.79 ( 0.03 )"	"6.21 ( 0.54 )"	"0.33 ( 0.07 )"	11.88	0.43	0.79	6.21	0.33	"compLasso"
500	500	0.5	1	0.94	"0.83 ( 0.03 )"	"0.36 ( 0.11 )"	"0 ( 0 )"	6.36	0.04	0.83	0.36	0	"compLasso"
1000	500	0.5	0.5	0.97	"0.87 ( 0.03 )"	"0.19 ( 0.06 )"	"0 ( 0 )"	6.19	0.02	0.87	0.19	0	"compLasso"
50	1000	0.5	20	0.15	"2.1 ( 0.11 )"	"5.84 ( 0.49 )"	"3.77 ( 0.14 )"	8.07	0.66	2.1	5.84	3.77	"compLasso"
100	1000	0.5	10	0.35	"0.91 ( 0.04 )"	"8.88 ( 0.73 )"	"0.52 ( 0.09 )"	14.36	0.51	0.91	8.88	0.52	"compLasso"
500	1000	0.5	2	0.98	"0.86 ( 0.02 )"	"0.13 ( 0.05 )"	"0 ( 0 )"	6.13	0.02	0.86	0.13	0	"compLasso"
1000	1000	0.5	1	0.95	"0.85 ( 0.02 )"	"0.3 ( 0.11 )"	"0 ( 0 )"	6.3	0.03	0.85	0.3	0	"compLasso"
50	50	0.7	1	0.49	"0.8 ( 0.06 )"	"4.27 ( 0.31 )"	"0.24 ( 0.06 )"	10.03	0.37	0.8	4.27	0.24	"compLasso"
100	50	0.7	0.5	0.75	"0.75 ( 0.03 )"	"1.71 ( 0.28 )"	"0 ( 0 )"	7.71	0.16	0.75	1.71	0	"compLasso"
500	50	0.7	0.1	0.9	"1 ( 0.04 )"	"0.58 ( 0.19 )"	"0 ( 0 )"	6.58	0.06	1	0.58	0	"compLasso"
1000	50	0.7	0.05	0.92	"0.98 ( 0.04 )"	"0.43 ( 0.09 )"	"0 ( 0 )"	6.43	0.05	0.98	0.43	0	"compLasso"
50	100	0.7	2	0.42	"1.14 ( 0.08 )"	"5.46 ( 0.32 )"	"0.55 ( 0.09 )"	10.91	0.46	1.14	5.46	0.55	"compLasso"
100	100	0.7	1	0.69	"0.82 ( 0.04 )"	"2.46 ( 0.41 )"	"0 ( 0 )"	8.46	0.21	0.82	2.46	0	"compLasso"
500	100	0.7	0.2	0.89	"1.01 ( 0.04 )"	"0.68 ( 0.23 )"	"0 ( 0 )"	6.68	0.06	1.01	0.68	0	"compLasso"
1000	100	0.7	0.1	0.94	"1.08 ( 0.04 )"	"0.36 ( 0.09 )"	"0 ( 0 )"	6.36	0.04	1.08	0.36	0	"compLasso"
50	500	0.7	10	0.26	"2.76 ( 0.17 )"	"5.16 ( 0.4 )"	"2.65 ( 0.15 )"	8.51	0.51	2.76	5.16	2.65	"compLasso"
100	500	0.7	5	0.52	"0.87 ( 0.03 )"	"5.39 ( 0.52 )"	"0.04 ( 0.02 )"	11.35	0.39	0.87	5.39	0.04	"compLasso"
500	500	0.7	1	0.94	"1.05 ( 0.04 )"	"0.35 ( 0.1 )"	"0 ( 0 )"	6.35	0.04	1.05	0.35	0	"compLasso"
1000	500	0.7	0.5	0.98	"1.14 ( 0.04 )"	"0.14 ( 0.04 )"	"0 ( 0 )"	6.14	0.02	1.14	0.14	0	"compLasso"
50	1000	0.7	20	0.2	"3.02 ( 0.16 )"	"5.41 ( 0.43 )"	"3.39 ( 0.13 )"	8.02	0.58	3.02	5.41	3.39	"compLasso"
100	1000	0.7	10	0.45	"0.91 ( 0.04 )"	"6.6 ( 0.53 )"	"0.2 ( 0.05 )"	12.4	0.45	0.91	6.6	0.2	"compLasso"
500	1000	0.7	2	0.95	"1.04 ( 0.04 )"	"0.31 ( 0.1 )"	"0 ( 0 )"	6.31	0.04	1.04	0.31	0	"compLasso"
1000	1000	0.7	1	0.97	"1.13 ( 0.04 )"	"0.21 ( 0.07 )"	"0 ( 0 )"	6.21	0.03	1.13	0.21	0	"compLasso"
50	50	0.9	1	0.48	"0.92 ( 0.07 )"	"4.7 ( 0.32 )"	"0.14 ( 0.04 )"	10.56	0.38	0.92	4.7	0.14	"compLasso"
100	50	0.9	0.5	0.76	"0.94 ( 0.05 )"	"1.59 ( 0.25 )"	"0 ( 0 )"	7.59	0.15	0.94	1.59	0	"compLasso"
500	50	0.9	0.1	0.92	"1.15 ( 0.06 )"	"0.47 ( 0.11 )"	"0 ( 0 )"	6.47	0.05	1.15	0.47	0	"compLasso"
1000	50	0.9	0.05	0.89	"1.28 ( 0.05 )"	"0.62 ( 0.19 )"	"0 ( 0 )"	6.62	0.06	1.28	0.62	0	"compLasso"
50	100	0.9	2	0.42	"1.28 ( 0.08 )"	"5.86 ( 0.29 )"	"0.47 ( 0.09 )"	11.39	0.48	1.28	5.86	0.47	"compLasso"
100	100	0.9	1	0.81	"0.94 ( 0.04 )"	"1.34 ( 0.23 )"	"0 ( 0 )"	7.34	0.14	0.94	1.34	0	"compLasso"
500	100	0.9	0.2	0.93	"1.16 ( 0.05 )"	"0.43 ( 0.13 )"	"0 ( 0 )"	6.43	0.05	1.16	0.43	0	"compLasso"
1000	100	0.9	0.1	0.94	"1.32 ( 0.05 )"	"0.34 ( 0.1 )"	"0 ( 0 )"	6.34	0.04	1.32	0.34	0	"compLasso"
50	500	0.9	10	0.25	"3.06 ( 0.18 )"	"5.42 ( 0.4 )"	"2.69 ( 0.15 )"	8.73	0.54	3.06	5.42	2.69	"compLasso"
100	500	0.9	5	0.58	"0.97 ( 0.04 )"	"4.2 ( 0.49 )"	"0.02 ( 0.02 )"	10.18	0.31	0.97	4.2	0.02	"compLasso"
500	500	0.9	1	0.93	"1.27 ( 0.05 )"	"0.44 ( 0.18 )"	"0 ( 0 )"	6.44	0.04	1.27	0.44	0	"compLasso"
1000	500	0.9	0.5	0.96	"1.31 ( 0.05 )"	"0.23 ( 0.06 )"	"0 ( 0 )"	6.23	0.03	1.31	0.23	0	"compLasso"
50	1000	0.9	20	0.23	"3.37 ( 0.19 )"	"5.29 ( 0.41 )"	"3.13 ( 0.15 )"	8.16	0.57	3.37	5.29	3.13	"compLasso"
100	1000	0.9	10	0.56	"1.14 ( 0.05 )"	"4.56 ( 0.38 )"	"0.07 ( 0.03 )"	10.49	0.37	1.14	4.56	0.07	"compLasso"
500	1000	0.9	2	0.96	"1.28 ( 0.04 )"	"0.27 ( 0.11 )"	"0 ( 0 )"	6.27	0.03	1.28	0.27	0	"compLasso"
1000	1000	0.9	1	0.95	"1.35 ( 0.05 )"	"0.29 ( 0.09 )"	"0 ( 0 )"	6.29	0.03	1.35	0.29	0	"compLasso"
